family,category,tasks,repo,package_id,precision,total_bytes,total_gb,include,detail
ace_step,audio_generation,"music,edit",audio-cpp/audio.cpp-gguf,ace_step_turbo_bf16,bf16,10090398272,9.397,no,ok
bs_roformer,audio_tools,sep,audio-cpp/audio.cpp-gguf,bs_roformer_q8_0,q8_0,172532256,0.161,yes,ok
chatterbox,tts,"tts,clone,vc",audio-cpp/audio.cpp-gguf,chatterbox_q8_0,q8_0,2088393668,1.945,yes,ok
citrinet_asr,asr,asr,audio-cpp/audio.cpp-gguf,citrinet_asr_q8_0,q8_0,40574432,0.038,yes,ok
confucius4_tts,tts,clone,audio-cpp/audio.cpp-gguf,confucius4_tts_orig,orig,8192757760,7.63,no,ok
dots_tts,tts,"tts,clone",audio-cpp/audio.cpp-gguf,dots_tts_soar_q8_0,q8_0,2962749632,2.759,yes,ok
dramabox,tts,"tts,clone",audio-cpp/audio.cpp-gguf,dramabox_q8_0,q8_0,18942803808,17.642,no,ok
fish_audio,tts,"tts,clone",audio-cpp/audio.cpp-gguf,fish_audio_s2_pro_q8_0,q8_0,6317911232,5.884,yes,ok
fun_asr_nano,asr,asr,FunAudioLLM/Fun-ASR-Nano-2512-GGUF,fun_asr_nano_2512_q8_0,q8_0,1045334432,0.974,yes,ok
glm_tts,tts,"tts,clone",mirek190/audio.cpp,glm_tts_q8_0,q8_0,5143813728,4.791,yes,ok
heartmula,audio_generation,music,audio-cpp/audio.cpp-gguf,heartmula_q8_0,q8_0,7659762592,7.134,no,ok
higgs_audio_stt,asr,asr,audio-cpp/audio.cpp-gguf,higgs_audio_stt_q8_0,q8_0,3158310848,2.941,yes,ok
higgs_audio_tts,tts,"tts,clone",audio-cpp/audio.cpp-gguf,higgs_audio_tts_4b_q8_0,q8_0,5095354048,4.745,yes,ok
htdemucs,audio_tools,sep,audio-cpp/audio.cpp-gguf,htdemucs_q8_0,q8_0,61940768,0.058,yes,ok
hviske_asr,asr,asr,mirek190/audio.cpp,hviske_asr_q8_0,q8_0,2436359808,2.269,yes,ok
index_tts2,tts,"tts,clone",audio-cpp/audio.cpp-gguf,index_tts2_q8_0,q8_0,3633888608,3.384,yes,ok
inflect_v2,tts,tts,audio-cpp/audio.cpp-gguf,inflect_micro_v2_orig,orig,72082176,0.067,yes,ok
irodori_tts,tts,"tts,clone,design",audio-cpp/audio.cpp-gguf,irodori_tts_v4_small_q8_0,q8_0,1368991360,1.275,yes,ok
kroko_asr,asr,asr,audio-cpp/audio.cpp-gguf,kroko_asr_community_q8_0,q8_0,167756928,0.156,yes,ok
mel_band_roformer,audio_tools,sep,audio-cpp/audio.cpp-gguf,mel_band_roformer_q8_0,q8_0,251748928,0.234,yes,ok
minimax_h3,audio_generation,"tts,music,sfx",audio-cpp/audio.cpp-gguf,minimax_h3_q4_k,q4_k,32443213394,30.215,no,ok
minimax_music3,audio_generation,music,audio-cpp/MiniMax-Music3-GGUF,minimax_music3_q4_0,q4_0,8446096592,7.866,no,ok
miocodec,audio_tools,"codec,vc,s2s",audio-cpp/audio.cpp-gguf,miocodec_q8_0,q8_0,299066464,0.279,yes,ok
miotts,tts,"tts,clone",audio-cpp/audio.cpp-gguf,miotts_1_7b_q8_0,q8_0,2197326752,2.046,yes,ok
moss_tts_local,tts,"tts,clone",audio-cpp/audio.cpp-gguf,moss_tts_local_v1_5_q8_0,q8_0,7512220768,6.996,no,ok
moss_tts_nano,tts,"tts,clone",audio-cpp/audio.cpp-gguf,moss_tts_nano_100m_q8_0,q8_0,193337984,0.18,yes,ok
