t_s,phase,nvme_mc,nvme_c,tj_mc,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,vdd_in_mw,sect_read,sect_written,read_mbs,write_mbs,inflight,util_pct
0,startup,39850,39,58687,58,58,56,2058,75,1267,6134,3161467,78327554,0.00,0.00,0,0.0
1,startup,39850,39,58531,58,58,56,2056,75,1267,5725,3161467,78327554,0.00,0.00,0,0.0
2,startup,39850,39,58406,58,58,56,2060,75,1344,5684,3161467,78327554,0.00,0.00,0,0.0
3,02-dst-short,39850,39,58500,58,58,56,2059,75,1344,5807,3161467,78329522,0.00,1.01,0,0.4
4,02-dst-short,39850,39,58687,58,58,56,2058,75,1267,5684,3161467,78329522,0.00,0.00,0,0.0
5,02-dst-short,39850,39,58406,58,58,56,2058,75,1497,5643,3161467,78329554,0.00,0.02,0,0.0
6,02-dst-short,39850,39,58500,58,58,56,2059,75,1497,5643,3161467,78329570,0.00,0.01,0,0.0
7,02-dst-short,39850,39,58093,58,58,56,2061,75,1497,5725,3161467,78329570,0.00,0.00,0,0.0
8,02-dst-short,39850,39,58312,58,58,56,2061,75,1497,5643,3161467,78331122,0.00,0.79,0,0.0
9,02-dst-short,39850,39,58531,58,58,56,2062,75,1344,5684,3161467,78331122,0.00,0.00,0,0.0
10,02-dst-short,39850,39,58406,58,58,56,2062,75,1344,5643,3161467,78331130,0.00,0.00,0,0.0
11,02-dst-short,39850,39,58687,58,58,56,2059,75,1344,5643,3161467,78331130,0.00,0.00,0,0.0
12,02-dst-short,39850,39,57906,57,58,56,2058,75,1267,5071,3161467,78331130,0.00,0.00,0,0.0
13,02-dst-short,39850,39,58156,58,57,56,2058,75,1267,5030,3161467,78331650,0.00,0.27,0,0.0
15,02-dst-short,39850,39,58062,58,57,56,2060,75,1344,5030,3161467,78331658,0.00,0.00,0,0.4
16,02-dst-short,39850,39,57750,57,57,56,2058,75,960,5030,3161467,78331666,0.00,0.00,0,0.0
17,02-dst-short,39850,39,57718,57,57,56,2060,75,1267,5030,3161467,78331666,0.00,0.00,0,0.0
18,02-dst-short,39850,39,57875,57,57,56,2060,75,1497,5030,3161467,78331666,0.00,0.00,0,0.0
19,04-idle-baseline,39850,39,57937,57,57,56,2060,75,1344,5071,3161467,78332194,0.00,0.27,0,0.4
20,04-idle-baseline,39850,39,57906,57,57,56,2060,75,1497,5030,3161467,78332194,0.00,0.00,0,0.0
21,04-idle-baseline,39850,39,57968,57,57,56,2058,75,1267,5030,3161467,78332226,0.00,0.02,0,0.0
22,04-idle-baseline,39850,39,57781,57,58,56,2060,75,1344,5030,3161467,78332226,0.00,0.00,0,0.0
23,04-idle-baseline,39850,39,57718,57,57,56,2057,75,1344,5030,3161467,78332746,0.00,0.27,0,0.0
24,04-idle-baseline,39850,39,57750,57,57,56,2058,75,1267,5030,3161467,78332754,0.00,0.00,0,0.4
25,04-idle-baseline,39850,39,57781,57,57,56,2057,75,1036,5030,3161467,78332754,0.00,0.00,0,0.0
26,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1267,4989,3161467,78332762,0.00,0.00,0,0.0
27,04-idle-baseline,39850,39,57718,57,57,56,2061,75,729,5030,3161467,78332762,0.00,0.00,0,0.0
28,04-idle-baseline,39850,39,57656,57,57,56,2061,75,729,5030,3161467,78333282,0.00,0.27,1,0.0
29,04-idle-baseline,39850,39,57781,57,57,56,2058,75,1344,4989,3161467,78333290,0.00,0.00,0,0.0
31,04-idle-baseline,39850,39,57593,57,57,56,2061,75,1344,5030,3161467,78333290,0.00,0.00,0,0.0
32,04-idle-baseline,39850,39,57687,57,57,56,2057,75,1344,4989,3161467,78333306,0.00,0.01,0,0.0
33,04-idle-baseline,39850,39,57750,57,57,56,2058,75,1267,5030,3161467,78333306,0.00,0.00,0,0.0
34,04-idle-baseline,39850,39,57562,57,57,56,2060,75,1344,5030,3161467,78333418,0.00,0.06,0,0.0
35,04-idle-baseline,39850,39,57687,57,57,56,2063,75,1344,4989,3161467,78333418,0.00,0.00,0,0.0
36,04-idle-baseline,39850,39,57656,57,57,56,2063,75,729,5030,3161467,78333418,0.00,0.00,0,0.0
37,04-idle-baseline,39850,39,57718,57,57,56,2058,75,1344,4989,3161467,78333426,0.00,0.00,0,0.0
38,04-idle-baseline,39850,39,57531,57,57,56,2060,75,1267,5030,3161467,78333426,0.00,0.00,0,0.0
39,04-idle-baseline,39850,39,57906,57,57,56,2057,75,1344,5030,3161467,78333538,0.00,0.06,0,0.0
40,04-idle-baseline,39850,39,57656,57,57,56,2058,75,960,4989,3161467,78333546,0.00,0.00,0,0.4
41,04-idle-baseline,39850,39,57500,57,57,56,2060,75,1344,5030,3161467,78333546,0.00,0.00,0,0.0
42,04-idle-baseline,39850,39,57687,57,57,56,2060,75,1344,5030,3161467,78333562,0.00,0.01,0,0.0
43,04-idle-baseline,39850,39,57531,57,57,56,2058,75,1344,4989,3161467,78333562,0.00,0.00,0,0.0
44,04-idle-baseline,39850,39,57500,57,57,56,2060,75,1344,4989,3161467,78333674,0.00,0.06,1,0.0
46,04-idle-baseline,39850,39,57531,57,57,56,2058,75,1267,4989,3161467,78333682,0.00,0.00,0,0.4
47,04-idle-baseline,39850,39,57750,57,57,56,2058,75,729,5030,3161467,78333682,0.00,0.00,0,0.0
48,04-idle-baseline,39850,39,57500,57,57,56,2058,75,1267,5030,3161467,78333698,0.00,0.01,0,0.0
49,04-idle-baseline,39850,39,57531,57,57,56,2061,75,729,4989,3161467,78333698,0.00,0.00,0,0.0
50,04-idle-baseline,39850,39,57593,57,57,56,2061,75,1344,4989,3161467,78333818,0.00,0.06,0,0.0
51,04-idle-baseline,39850,39,57468,57,57,56,2058,75,1344,5030,3161467,78333818,0.00,0.00,0,0.0
52,04-idle-baseline,39850,39,57656,57,57,56,2057,75,1344,5030,3161467,78333818,0.00,0.00,0,0.0
53,04-idle-baseline,39850,39,57406,57,57,56,2058,75,1344,5030,3161467,78333826,0.00,0.00,0,0.0
54,04-idle-baseline,39850,39,57718,57,57,56,2060,75,1190,5030,3161467,78333826,0.00,0.00,0,0.0
55,04-idle-baseline,39850,39,57500,57,57,56,2058,75,1344,4989,3161467,78333938,0.00,0.06,0,0.0
56,04-idle-baseline,39850,39,57437,57,57,56,2058,75,1267,4989,3161467,78333946,0.00,0.00,0,0.4
57,04-idle-baseline,39850,39,57500,57,57,56,2058,75,1344,5030,3161467,78333946,0.00,0.00,0,0.0
