t_s,cumulative_gib,write_mbs
1.0,0.525,563.9
2.0,1.068,583.2
3.0,1.613,584.5
4.0,2.139,565.1
5.0,2.667,566.8
6.0,3.194,565.7
7.0,3.718,563.4
8.0,4.247,567.4
9.0,4.776,568.5
10.0,5.302,565.1
11.0,5.832,568.5
12.0,6.360,567.5
13.0,6.895,574.1
14.0,7.426,570.3
15.0,7.948,560.6
16.0,8.473,563.1
17.0,9.006,572.3
18.0,9.536,568.3
19.0,10.064,568.5
20.0,10.594,568.5
21.0,11.124,568.9
22.0,11.656,572.0
23.0,12.199,582.5
24.0,12.745,586.5
25.0,13.285,579.8
26.0,13.828,582.6
27.0,14.372,584.2
28.0,14.917,585.8
29.0,15.459,581.6
30.0,16.000,581.2
31.0,16.545,584.8
32.0,17.072,565.4
33.0,17.607,574.9
34.0,18.149,581.4
35.0,18.693,584.1
36.0,19.207,552.1
37.0,19.741,573.2
38.0,20.280,579.7
39.0,20.701,451.7
40.0,21.242,580.6
41.0,21.789,587.5
42.0,22.328,578.5
43.0,22.864,576.5
44.0,23.247,411.2
45.0,23.788,580.4
46.0,24.330,582.5
47.0,24.866,574.5
48.0,25.402,576.5
49.0,25.937,573.8
50.0,26.466,568.2
51.0,26.999,572.7
52.0,27.528,568.0
53.0,28.059,569.8
54.0,28.586,565.6
55.0,29.122,575.7
56.0,29.651,568.1
57.0,30.185,574.0
58.0,30.722,576.5
59.0,31.249,565.2
60.0,31.775,565.1
61.0,32.304,568.1
62.0,32.805,537.4
63.0,33.323,556.3
64.0,33.821,535.3
65.0,34.328,543.8
66.0,34.854,565.4
67.0,35.362,544.6
68.0,35.880,557.0
69.0,36.385,541.6
70.0,36.901,554.2
71.0,37.440,579.4
72.0,37.972,571.4
73.0,38.506,572.9
74.0,39.037,570.7
75.0,39.573,574.9
76.0,40.106,572.0
77.0,40.640,574.0
78.0,41.178,577.4
79.0,41.713,574.9
80.0,42.245,571.1
81.0,42.772,566.1
82.0,43.312,579.5
83.0,43.846,573.2
84.0,44.378,570.9
85.0,44.910,571.2
86.0,45.443,573.0
87.0,45.970,566.0
88.0,46.499,567.5
89.0,47.010,549.0
90.0,47.539,567.7
91.0,48.069,568.9
92.0,48.606,576.8
93.0,49.145,578.4
94.0,49.677,572.0
95.0,50.216,577.9
96.0,50.748,571.3
97.0,51.282,573.3
98.0,51.815,572.8
99.0,52.353,577.4
100.0,52.885,571.3
101.0,53.391,544.0
102.0,53.922,569.7
103.0,54.403,516.9
104.0,54.930,565.0
105.0,55.461,570.6
106.0,55.998,577.1
107.0,56.530,571.1
108.0,57.063,571.7
109.0,57.604,580.8
110.0,58.136,572.0
111.0,58.674,577.0
112.0,59.214,579.5
113.0,59.760,587.2
114.0,60.296,575.1
115.0,60.836,580.1
116.0,61.382,586.5
117.0,61.915,571.4
118.0,62.446,570.8
119.0,62.974,566.8
120.0,63.498,562.5
121.0,64.030,571.8
122.0,64.572,581.3
123.0,65.115,583.7
124.0,65.658,582.1
125.0,66.200,581.4
126.0,66.737,577.9
127.0,67.286,588.5
128.0,67.827,582.0
129.0,68.368,580.3
130.0,68.909,581.4
131.0,69.455,585.8
132.0,69.991,575.1
133.0,70.532,581.5
134.0,71.055,561.4
135.0,71.558,540.3
136.0,72.037,514.1
137.0,72.504,501.2
138.0,73.040,576.1
139.0,73.531,526.8
140.0,74.074,583.7
141.0,74.612,577.5
142.0,75.154,582.0
143.0,75.697,582.5
144.0,76.168,506.2
145.0,76.711,583.0
146.0,77.252,580.4
147.0,77.797,585.0
148.0,78.336,579.5
149.0,78.875,578.5
150.0,79.416,581.2
151.0,79.959,583.2
152.0,80.501,581.7
153.0,81.044,582.0
154.0,81.585,582.3
155.0,82.115,567.8
156.0,82.635,559.2
157.0,83.177,581.8
158.0,83.722,585.6
159.0,84.263,580.8
160.0,84.801,577.4
161.0,85.293,528.4
162.0,85.813,559.0
163.0,86.303,525.2
164.0,86.846,583.5
165.0,87.390,584.1
166.0,87.932,582.2
167.0,88.446,551.8
168.0,88.981,574.6
169.0,89.516,574.6
170.0,90.037,559.3
171.0,90.554,554.3
172.0,91.039,520.6
173.0,91.563,561.8
174.0,92.084,559.7
175.0,92.606,559.9
176.0,93.126,558.6
177.0,93.649,560.5
178.0,94.174,564.4
179.0,94.697,561.6
180.0,95.219,560.1
181.0,95.752,571.9
182.0,96.288,575.9
183.0,96.822,571.9
184.0,97.356,573.7
185.0,97.889,571.6
186.0,98.417,566.1
187.0,98.946,567.9
188.0,99.483,576.7
189.0,100.014,569.9
190.0,100.537,561.4
191.0,101.049,548.9
192.0,101.572,561.6
193.0,102.066,529.4
194.0,102.587,559.8
195.0,103.105,555.5
196.0,103.630,563.7
197.0,104.127,533.9
198.0,104.625,534.0
199.0,105.142,554.8
200.0,105.673,570.6
201.0,106.195,559.4
202.0,106.727,571.5
203.0,107.260,571.3
204.0,107.778,556.1
205.0,108.282,540.4
206.0,108.700,449.3
207.0,109.220,557.3
208.0,109.497,297.5
209.0,109.612,124.1
210.0,109.744,141.4
211.0,109.873,137.9
212.0,110.001,137.5
213.0,110.125,133.4
214.0,110.252,136.6
215.0,110.381,138.0
216.0,110.685,326.5
217.0,111.219,573.6
218.0,111.575,381.9
219.0,111.785,225.3
220.0,111.908,131.3
221.0,112.036,137.6
222.0,112.164,137.5
223.0,112.287,131.3
224.0,112.415,137.8
225.0,112.543,137.5
226.0,112.690,158.1
227.0,113.176,520.9
228.0,113.680,541.6
229.0,113.926,263.1
230.0,114.065,150.1
231.0,114.195,139.1
232.0,114.328,142.6
233.0,114.454,135.7
234.0,114.584,139.6
235.0,114.715,140.5
236.0,114.853,147.2
237.0,115.216,390.3
238.0,115.760,583.2
239.0,116.082,345.2
240.0,116.273,205.4
241.0,116.404,139.7
242.0,116.532,137.8
243.0,116.660,137.8
244.0,116.788,137.6
245.0,116.922,143.7
246.0,117.046,133.0
247.0,117.268,237.8
248.0,117.810,581.6
249.0,118.246,468.1
250.0,118.479,249.8
251.0,118.608,137.8
252.0,118.742,143.9
253.0,118.873,140.9
254.0,119.004,140.8
255.0,119.132,137.4
256.1,119.263,140.6
257.1,119.409,156.8
258.1,119.922,550.9
259.1,120.415,529.0
260.1,120.670,272.9
261.1,120.797,136.8
262.1,120.928,140.9
263.1,121.059,140.2
264.1,121.185,135.1
265.1,121.313,137.4
266.1,121.441,137.8
267.1,121.581,150.2
268.1,121.956,401.7
269.1,122.502,586.2
270.1,122.820,341.0
271.1,122.999,191.8
272.1,123.121,131.3
273.1,123.250,137.8
274.1,123.378,137.8
275.1,123.506,137.5
276.1,123.636,139.7
277.1,123.762,135.3
278.1,124.005,260.0
279.1,124.534,567.8
280.1,124.964,462.4
281.1,125.197,249.6
282.1,125.331,143.9
283.1,125.465,143.9
284.1,125.593,137.8
285.1,125.722,137.6
286.1,125.850,137.6
287.1,125.983,143.0
288.1,126.130,157.4
289.1,126.621,526.5
290.1,127.121,536.5
291.1,127.381,279.3
292.1,127.512,140.6
293.1,127.646,143.9
294.1,127.774,137.8
295.1,127.897,131.5
296.1,128.028,140.5
297.1,128.159,140.9
298.1,128.293,144.0
299.1,128.620,350.4
300.1,129.153,571.9
301.1,129.505,378.3
302.1,129.705,214.2
303.1,129.839,143.4
304.1,129.965,135.9
305.1,130.093,137.2
306.1,130.224,140.4
307.1,130.352,137.4
308.1,130.480,137.6
309.1,130.679,213.8
310.1,131.183,539.8
311.1,131.642,493.4
312.1,131.892,267.6
313.1,132.018,135.8
314.1,132.148,139.7
315.1,132.272,132.9
316.1,132.399,135.9
317.1,132.527,137.8
318.1,132.655,137.6
319.1,132.795,150.2
320.1,133.173,405.8
321.1,133.703,568.5
322.1,134.026,346.4
323.1,134.201,187.8
324.1,134.330,137.8
325.1,134.458,137.6
326.1,134.586,137.4
327.1,134.714,137.8
328.1,134.840,135.1
329.1,134.965,134.0
330.1,135.114,160.0
331.1,135.269,165.5
332.1,135.460,205.1
333.1,135.583,132.6
334.1,135.712,137.8
335.1,135.834,131.3
336.1,135.956,131.5
337.1,136.085,137.5
338.1,136.213,137.8
339.1,136.341,137.6
340.1,136.539,212.2
341.1,136.732,207.2
342.1,136.860,137.5
343.1,136.992,141.0
344.1,137.117,134.3
345.1,137.245,137.6
346.1,137.374,137.8
347.1,137.503,139.1
348.1,137.715,227.4
349.1,138.225,547.1
350.1,138.739,551.0
351.1,139.089,375.7
352.1,139.351,281.4
353.1,139.480,137.8
354.1,139.610,139.3
355.1,139.742,142.2
356.1,139.870,137.8
357.1,140.001,140.4
358.1,140.132,140.4
359.1,140.278,156.5
360.1,140.671,421.8
361.1,141.182,548.3
362.1,141.357,187.6
363.1,141.537,193.8
364.1,141.666,137.8
365.1,141.794,137.6
366.1,141.922,137.8
367.1,142.050,137.4
368.1,142.179,137.5
369.1,142.307,137.8
370.1,142.529,238.2
371.1,143.054,563.2
372.1,143.420,394.0
373.1,143.646,242.0
374.1,143.794,158.3
375.1,143.922,137.8
376.1,144.056,143.9
377.1,144.178,130.8
378.1,144.313,144.0
379.1,144.442,139.3
380.1,144.577,144.0
381.1,144.869,313.5
382.1,145.399,568.5
383.1,145.724,348.5
384.1,145.894,182.7
385.1,146.056,174.1
386.1,146.186,139.3
387.1,146.316,139.9
388.1,146.441,133.8
389.1,146.570,138.3
390.1,146.699,138.9
391.1,146.836,146.8
392.1,147.092,274.1
393.1,147.603,548.0
394.1,148.004,430.9
395.1,148.232,243.8
396.1,148.360,137.6
397.1,148.488,137.4
398.1,148.617,138.8
399.1,148.744,136.4
400.1,148.873,137.8
401.1,149.001,137.9
402.1,149.147,156.3
403.1,149.572,456.9
404.1,150.097,563.9
405.1,150.371,294.4
406.1,150.536,176.9
407.1,150.669,142.4
408.1,150.790,130.4
409.1,150.826,37.9
410.1,150.954,137.6
411.1,151.088,144.1
412.1,151.187,106.4
413.1,151.450,282.3
414.1,151.986,575.9
415.1,152.300,337.6
416.1,152.470,182.0
417.1,152.545,80.3
418.1,152.667,131.5
419.1,152.795,137.8
420.1,152.854,63.2
421.1,152.964,118.1
422.1,153.092,137.4
423.1,153.277,198.0
424.1,153.744,501.7
425.1,154.177,465.6
426.1,154.410,250.6
427.1,154.492,87.5
428.1,154.578,92.6
429.1,154.702,133.0
430.1,154.828,135.7
