08-10-2026 23:01:22 RAM 2682/15599MB (lfb 59x4MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@57.031C/57.031C cpu@61.031C/61.031C soc2@54.781C/54.781C soc0@57.875C/57.875C cv1@57.562C/57.562C gpu@59.468C/59.468C tj@61.031C/61.031C soc1@56.687C/56.687C cv2@54.093C/54.093C VDD_IN 6134mW/6134mW/6134mW VDD_CPU_GPU_CV 857mW/857mW/857mW VDD_SOC 2368mW/2368mW/2368mW
08-10-2026 23:01:23 RAM 2728/15599MB (lfb 59x4MB) CPU [5%@1958,3%@1958,5%@1958,1%@1958,5%@1984,3%@1984,5%@1984,5%@1984] GR3D_FREQ 0% cv0@57.937C/57.937C cpu@62.218C/62.218C soc2@54.937C/54.937C soc0@57.843C/57.875C cv1@57.656C/57.656C gpu@59.468C/59.468C tj@62.218C/62.218C soc1@56.75C/56.75C cv2@54.062C/54.093C VDD_IN 6461mW/6298mW/6461mW VDD_CPU_GPU_CV 1143mW/1000mW/1143mW VDD_SOC 2409mW/2389mW/2409mW
08-10-2026 23:01:23 RAM 5626/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,97%@1984,100%@1984,100%@1984,97%@1984] GR3D_FREQ 41% cv0@59.562C/59.562C cpu@64.968C/64.968C soc2@55.937C/55.937C soc0@57.906C/57.906C cv1@58.718C/58.718C gpu@60.5C/60.5C tj@64.968C/64.968C soc1@56.781C/56.781C cv2@54.312C/54.312C VDD_IN 12577mW/8391mW/12577mW VDD_CPU_GPU_CV 5477mW/2492mW/5477mW VDD_SOC 3012mW/2596mW/3012mW
08-10-2026 23:01:24 RAM 7158/15599MB (lfb 5x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 46% cv0@59.937C/59.937C cpu@65.156C/65.156C soc2@56.281C/56.281C soc0@58C/58C cv1@59.062C/59.062C gpu@60.5C/60.5C tj@65.156C/65.156C soc1@57.093C/57.093C cv2@54.593C/54.593C VDD_IN 15361mW/10133mW/15361mW VDD_CPU_GPU_CV 7361mW/3710mW/7361mW VDD_SOC 3367mW/2789mW/3367mW
08-10-2026 23:01:24 RAM 7260/15599MB (lfb 6x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,94%@1984] GR3D_FREQ 25% cv0@60.312C/60.312C cpu@64.937C/65.156C soc2@56.468C/56.468C soc0@58C/58C cv1@59.343C/59.343C gpu@60.625C/60.625C tj@64.937C/65.156C soc1@57.187C/57.187C cv2@54.687C/54.687C VDD_IN 14711mW/11049mW/15361mW VDD_CPU_GPU_CV 7725mW/4513mW/7725mW VDD_SOC 2966mW/2824mW/3367mW
08-10-2026 23:01:25 RAM 7336/15599MB (lfb 6x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,98%@1984,98%@1984,100%@1984,98%@1984] GR3D_FREQ 28% cv0@60.5C/60.5C cpu@64.968C/65.156C soc2@56.593C/56.593C soc0@58.187C/58.187C cv1@59.406C/59.406C gpu@60.562C/60.625C tj@64.968C/65.156C soc1@57.281C/57.281C cv2@54.843C/54.843C VDD_IN 13595mW/11473mW/15361mW VDD_CPU_GPU_CV 7494mW/5010mW/7725mW VDD_SOC 2600mW/2787mW/3367mW
08-10-2026 23:01:25 RAM 7413/15599MB (lfb 6x4MB) CPU [100%@1984,97%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 9% cv0@60.531C/60.531C cpu@65.031C/65.156C soc2@56.593C/56.593C soc0@58.406C/58.406C cv1@59.5C/59.5C gpu@60.562C/60.625C tj@65.031C/65.156C soc1@57.312C/57.312C cv2@54.906C/54.906C VDD_IN 13269mW/11730mW/15361mW VDD_CPU_GPU_CV 7454mW/5359mW/7725mW VDD_SOC 2479mW/2743mW/3367mW
08-10-2026 23:01:26 RAM 8020/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 0% cv0@60.406C/60.531C cpu@65.218C/65.218C soc2@56.687C/56.687C soc0@58.312C/58.406C cv1@59.781C/59.781C gpu@60.625C/60.625C tj@65.218C/65.218C soc1@57.343C/57.343C cv2@54.937C/54.937C VDD_IN 13310mW/11927mW/15361mW VDD_CPU_GPU_CV 7373mW/5611mW/7725mW VDD_SOC 2519mW/2715mW/3367mW
08-10-2026 23:01:26 RAM 10461/15599MB (lfb 2x4MB) CPU [100%@1984,90%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 48% cv0@60.625C/60.625C cpu@65.656C/65.656C soc2@56.812C/56.812C soc0@58.468C/58.468C cv1@59.906C/59.906C gpu@61.25C/61.25C tj@65.656C/65.656C soc1@57.437C/57.437C cv2@55C/55C VDD_IN 14833mW/12250mW/15361mW VDD_CPU_GPU_CV 7482mW/5818mW/7725mW VDD_SOC 3129mW/2761mW/3367mW
08-10-2026 23:01:27 RAM 11961/15599MB (lfb 7x1MB) CPU [100%@1984,100%@1984,98%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 10% cv0@60.718C/60.718C cpu@65.781C/65.781C soc2@56.937C/56.937C soc0@58.593C/58.593C cv1@59.875C/59.906C gpu@61.218C/61.25C tj@65.781C/65.781C soc1@57.5C/57.5C cv2@55.093C/55.093C VDD_IN 15646mW/12590mW/15646mW VDD_CPU_GPU_CV 7887mW/6025mW/7887mW VDD_SOC 3286mW/2814mW/3367mW
