08-10-2026 21:55:08 RAM 2595/15599MB (lfb 17x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@1113] GR3D_FREQ 0% cv0@64.406C/64.406C cpu@68.343C/68.343C soc2@62.406C/62.406C soc0@65.375C/65.375C cv1@64.968C/64.968C gpu@66.875C/66.875C tj@68.281C/68.281C soc1@63.937C/63.937C cv2@61.25C/61.25C VDD_IN 6379mW/6379mW/6379mW VDD_CPU_GPU_CV 979mW/979mW/979mW VDD_SOC 2453mW/2453mW/2453mW
08-10-2026 21:55:09 RAM 2620/15599MB (lfb 17x4MB) CPU [3%@1497,4%@1497,5%@1497,0%@1497,2%@1984,3%@1984,2%@1984,1%@1984] GR3D_FREQ 0% cv0@64.875C/64.875C cpu@68.781C/68.781C soc2@62.312C/62.406C soc0@65.343C/65.375C cv1@65C/65C gpu@66.937C/66.937C tj@68.781C/68.781C soc1@63.718C/63.937C cv2@61.375C/61.375C VDD_IN 6502mW/6441mW/6502mW VDD_CPU_GPU_CV 1102mW/1041mW/1102mW VDD_SOC 2449mW/2451mW/2453mW
08-10-2026 21:55:09 RAM 3473/15599MB (lfb 17x4MB) CPU [96%@1984,100%@1984,100%@1984,98%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@66.875C/66.875C cpu@71.312C/71.312C soc2@63.375C/63.375C soc0@65.281C/65.375C cv1@65.968C/65.968C gpu@69.062C/69.062C tj@71.406C/71.406C soc1@63.75C/63.937C cv2@61.5C/61.5C VDD_IN 15280mW/9387mW/15280mW VDD_CPU_GPU_CV 8615mW/3565mW/8615mW VDD_SOC 2885mW/2596mW/2885mW
08-10-2026 21:55:10 RAM 3511/15599MB (lfb 17x4MB) CPU [97%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.281C/67.281C cpu@71.531C/71.531C soc2@63.687C/63.687C soc0@65.375C/65.375C cv1@66.281C/66.281C gpu@69.156C/69.156C tj@71.531C/71.531C soc1@64.062C/64.062C cv2@61.843C/61.843C VDD_IN 17244mW/11351mW/17244mW VDD_CPU_GPU_CV 10967mW/5416mW/10967mW VDD_SOC 2678mW/2616mW/2885mW
08-10-2026 21:55:10 RAM 3538/15599MB (lfb 17x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.375C/67.375C cpu@71.75C/71.75C soc2@63.843C/63.843C soc0@65.5C/65.5C cv1@66.375C/66.375C gpu@69.218C/69.218C tj@71.75C/71.75C soc1@64.062C/64.062C cv2@61.812C/61.843C VDD_IN 17650mW/12611mW/17650mW VDD_CPU_GPU_CV 11652mW/6663mW/11652mW VDD_SOC 2596mW/2612mW/2885mW
08-10-2026 21:55:11 RAM 3578/15599MB (lfb 17x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.468C/67.468C cpu@71.781C/71.781C soc2@63.968C/63.968C soc0@65.718C/65.718C cv1@66.468C/66.468C gpu@69.656C/69.656C tj@71.781C/71.781C soc1@64.218C/64.218C cv2@62C/62C VDD_IN 17731mW/13464mW/17731mW VDD_CPU_GPU_CV 11813mW/7521mW/11813mW VDD_SOC 2556mW/2603mW/2885mW
08-10-2026 21:55:11 RAM 3868/15599MB (lfb 17x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.437C/67.468C cpu@72C/72C soc2@64.062C/64.062C soc0@65.843C/65.843C cv1@66.656C/66.656C gpu@69.593C/69.656C tj@72C/72C soc1@64.312C/64.312C cv2@62.093C/62.093C VDD_IN 17853mW/14091mW/17853mW VDD_CPU_GPU_CV 11894mW/8146mW/11894mW VDD_SOC 2556mW/2596mW/2885mW
08-10-2026 21:55:12 RAM 5092/15599MB (lfb 13x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.656C/67.656C cpu@72.468C/72.468C soc2@64.281C/64.281C soc0@65.75C/65.843C cv1@66.718C/66.718C gpu@69.937C/69.937C tj@72.468C/72.468C soc1@64.187C/64.312C cv2@62.125C/62.125C VDD_IN 19243mW/14735mW/19243mW VDD_CPU_GPU_CV 12157mW/8647mW/12157mW VDD_SOC 2997mW/2646mW/2997mW
08-10-2026 21:55:12 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.625C/67.656C cpu@72.187C/72.468C soc2@64.312C/64.312C soc0@65.937C/65.937C cv1@66.812C/66.812C gpu@70.781C/70.781C tj@72.187C/72.468C soc1@64.375C/64.375C cv2@62.312C/62.312C VDD_IN 23136mW/15669mW/23136mW VDD_CPU_GPU_CV 15024mW/9356mW/15024mW VDD_SOC 3392mW/2729mW/3392mW
08-10-2026 21:55:13 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.718C/67.718C cpu@72.187C/72.468C soc2@64.5C/64.5C soc0@66.218C/66.218C cv1@66.906C/66.906C gpu@71.218C/71.218C tj@72.187C/72.468C soc1@64.437C/64.437C cv2@62.468C/62.468C VDD_IN 24593mW/16561mW/24593mW VDD_CPU_GPU_CV 16240mW/10044mW/16240mW VDD_SOC 3553mW/2812mW/3553mW
08-10-2026 21:55:13 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@67.875C/67.875C cpu@72.531C/72.531C soc2@64.75C/64.75C soc0@66.187C/66.218C cv1@67.062C/67.062C gpu@71.468C/71.468C tj@72.531C/72.531C soc1@64.468C/64.468C cv2@62.531C/62.531C VDD_IN 25159mW/17343mW/25159mW VDD_CPU_GPU_CV 16560mW/10637mW/16560mW VDD_SOC 3628mW/2886mW/3628mW
