08-10-2026 22:06:43 RAM 2566/15599MB (lfb 31x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@57.812C/57.812C cpu@61.718C/61.718C soc2@55.781C/55.781C soc0@58.531C/58.531C cv1@58.375C/58.375C gpu@60.156C/60.156C tj@61.718C/61.718C soc1@57.375C/57.375C cv2@54.812C/54.812C VDD_IN 6175mW/6175mW/6175mW VDD_CPU_GPU_CV 857mW/857mW/857mW VDD_SOC 2368mW/2368mW/2368mW
08-10-2026 22:06:44 RAM 2623/15599MB (lfb 31x4MB) CPU [5%@1984,4%@1984,5%@1984,4%@1984,3%@1984,4%@1984,5%@1984,0%@1984] GR3D_FREQ 0% cv0@58.656C/58.656C cpu@62.781C/62.781C soc2@55.875C/55.875C soc0@58.656C/58.656C cv1@58.468C/58.468C gpu@60.25C/60.25C tj@62.781C/62.781C soc1@57.437C/57.437C cv2@54.781C/54.812C VDD_IN 6502mW/6339mW/6502mW VDD_CPU_GPU_CV 1143mW/1000mW/1143mW VDD_SOC 2409mW/2389mW/2409mW
08-10-2026 22:06:44 RAM 4578/15599MB (lfb 12x4MB) CPU [98%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,98%@1984,100%@1984] GR3D_FREQ 99% cv0@60.5C/60.5C cpu@65.343C/65.343C soc2@56.843C/56.843C soc0@58.718C/58.718C cv1@59.593C/59.593C gpu@62.562C/62.562C tj@65.343C/65.343C soc1@57.593C/57.593C cv2@55.093C/55.093C VDD_IN 15077mW/9251mW/15077mW VDD_CPU_GPU_CV 8291mW/3430mW/8291mW VDD_SOC 2926mW/2568mW/2926mW
08-10-2026 22:06:45 RAM 6405/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.937C/60.937C cpu@65.843C/65.843C soc2@57.406C/57.406C soc0@58.968C/58.968C cv1@60.062C/60.062C gpu@63.156C/63.156C tj@65.843C/65.843C soc1@57.781C/57.781C cv2@55.375C/55.375C VDD_IN 19162mW/11729mW/19162mW VDD_CPU_GPU_CV 10909mW/5300mW/10909mW VDD_SOC 3484mW/2797mW/3484mW
08-10-2026 22:06:45 RAM 6513/15599MB (lfb 12x4MB) CPU [100%@1984,96%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.343C/61.343C cpu@65.906C/65.906C soc2@57.656C/57.656C soc0@59.312C/59.312C cv1@60.375C/60.375C gpu@63.187C/63.187C tj@65.906C/65.906C soc1@58.125C/58.125C cv2@55.75C/55.75C VDD_IN 18340mW/13051mW/19162mW VDD_CPU_GPU_CV 11450mW/6530mW/11450mW VDD_SOC 2876mW/2813mW/3484mW
08-10-2026 22:06:46 RAM 6591/15599MB (lfb 12x4MB) CPU [98%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.562C/61.562C cpu@66.156C/66.156C soc2@57.843C/57.843C soc0@59.343C/59.343C cv1@60.531C/60.531C gpu@63.562C/63.562C tj@66.156C/66.156C soc1@58.312C/58.312C cv2@55.906C/55.906C VDD_IN 17894mW/13858mW/19162mW VDD_CPU_GPU_CV 11652mW/7384mW/11652mW VDD_SOC 2637mW/2783mW/3484mW
08-10-2026 22:06:46 RAM 6679/15599MB (lfb 12x4MB) CPU [98%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.593C/61.593C cpu@66.25C/66.25C soc2@58.031C/58.031C soc0@59.468C/59.468C cv1@60.718C/60.718C gpu@63.531C/63.562C tj@66.25C/66.25C soc1@58.343C/58.343C cv2@56.062C/56.062C VDD_IN 17731mW/14412mW/19162mW VDD_CPU_GPU_CV 11652mW/7993mW/11652mW VDD_SOC 2556mW/2751mW/3484mW
08-10-2026 22:06:47 RAM 7860/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,98%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.75C/61.75C cpu@66.437C/66.437C soc2@58.062C/58.062C soc0@59.593C/59.593C cv1@60.781C/60.781C gpu@63.937C/63.937C tj@66.531C/66.531C soc1@58.468C/58.468C cv2@56.187C/56.187C VDD_IN 18178mW/14882mW/19162mW VDD_CPU_GPU_CV 11612mW/8446mW/11652mW VDD_SOC 2754mW/2751mW/3484mW
08-10-2026 22:06:47 RAM 10451/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.031C/62.031C cpu@66.906C/66.906C soc2@58.343C/58.343C soc0@59.75C/59.75C cv1@61C/61C gpu@64.218C/64.218C tj@66.906C/66.906C soc1@58.593C/58.593C cv2@56.218C/56.218C VDD_IN 20337mW/15488mW/20337mW VDD_CPU_GPU_CV 11996mW/8840mW/11996mW VDD_SOC 3518mW/2836mW/3518mW
08-10-2026 22:06:48 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,98%@1984] GR3D_FREQ 99% cv0@62C/62.031C cpu@66.562C/66.906C soc2@58.531C/58.531C soc0@59.906C/59.906C cv1@61.062C/61.062C gpu@65.968C/65.968C tj@66.562C/66.906C soc1@58.75C/58.75C cv2@56.468C/56.468C VDD_IN 25522mW/16492mW/25522mW VDD_CPU_GPU_CV 15920mW/9548mW/15920mW VDD_SOC 3951mW/2948mW/3951mW
