08-10-2026 22:13:11 RAM 2560/15599MB (lfb 91x4MB) CPU [0%@729,1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@59.875C/59.875C cpu@64.062C/64.062C soc2@57.812C/57.812C soc0@60.75C/60.75C cv1@60.593C/60.593C gpu@62.281C/62.281C tj@64.062C/64.062C soc1@59.625C/59.625C cv2@56.718C/56.718C VDD_IN 6216mW/6216mW/6216mW VDD_CPU_GPU_CV 898mW/898mW/898mW VDD_SOC 2409mW/2409mW/2409mW
08-10-2026 22:13:11 RAM 2588/15599MB (lfb 91x4MB) CPU [1%@1984,2%@1984,2%@1984,2%@1984,3%@1984,5%@1984,3%@1984,1%@1984] GR3D_FREQ 0% cv0@60.343C/60.343C cpu@64.468C/64.468C soc2@57.718C/57.812C soc0@60.875C/60.875C cv1@60.656C/60.656C gpu@62.281C/62.281C tj@64.468C/64.468C soc1@59.531C/59.625C cv2@56.656C/56.718C VDD_IN 6379mW/6298mW/6379mW VDD_CPU_GPU_CV 1020mW/959mW/1020mW VDD_SOC 2409mW/2409mW/2409mW
08-10-2026 22:13:12 RAM 3948/15599MB (lfb 91x4MB) CPU [100%@1984,100%@1984,96%@1984,98%@1984,100%@1984,100%@1984,100%@1984,98%@1984] GR3D_FREQ 16% cv0@62.406C/62.406C cpu@67.062C/67.062C soc2@58.875C/58.875C soc0@60.812C/60.875C cv1@61.687C/61.687C gpu@63.187C/63.187C tj@67.062C/67.062C soc1@59.656C/59.656C cv2@57C/57C VDD_IN 12903mW/8499mW/12903mW VDD_CPU_GPU_CV 5842mW/2587mW/5842mW VDD_SOC 3052mW/2623mW/3052mW
08-10-2026 22:13:12 RAM 4274/15599MB (lfb 91x4MB) CPU [100%@1984,100%@1984,100%@1984,96%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 26% cv0@62.718C/62.718C cpu@67.468C/67.468C soc2@59.187C/59.187C soc0@60.906C/60.906C cv1@62C/62C gpu@63C/63.187C tj@67.468C/67.468C soc1@59.718C/59.718C cv2@57.375C/57.375C VDD_IN 14042mW/9885mW/14042mW VDD_CPU_GPU_CV 7251mW/3753mW/7251mW VDD_SOC 2885mW/2689mW/3052mW
08-10-2026 22:13:13 RAM 4360/15599MB (lfb 91x4MB) CPU [100%@1984,100%@1984,96%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 22% cv0@62.875C/62.875C cpu@67.687C/67.687C soc2@59.25C/59.25C soc0@61.093C/61.093C cv1@62.218C/62.218C gpu@63.343C/63.343C tj@67.687C/67.687C soc1@59.875C/59.875C cv2@57.437C/57.437C VDD_IN 13513mW/10611mW/14042mW VDD_CPU_GPU_CV 7454mW/4493mW/7454mW VDD_SOC 2600mW/2671mW/3052mW
08-10-2026 22:13:13 RAM 5419/15599MB (lfb 91x4MB) CPU [100%@1984,100%@1984,98%@1984,96%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 0% cv0@63.093C/63.093C cpu@67.625C/67.687C soc2@59.375C/59.375C soc0@61.031C/61.093C cv1@62.281C/62.281C gpu@63.187C/63.343C tj@67.625C/67.687C soc1@59.906C/59.906C cv2@57.593C/57.593C VDD_IN 13595mW/11108mW/14042mW VDD_CPU_GPU_CV 7413mW/4980mW/7454mW VDD_SOC 2600mW/2659mW/3052mW
08-10-2026 22:13:14 RAM 7458/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 65% cv0@63.187C/63.187C cpu@67.843C/67.843C soc2@59.5C/59.5C soc0@61.062C/61.093C cv1@62.375C/62.375C gpu@63.937C/63.937C tj@67.906C/67.906C soc1@60.031C/60.031C cv2@57.625C/57.625C VDD_IN 15605mW/11750mW/15605mW VDD_CPU_GPU_CV 7846mW/5389mW/7846mW VDD_SOC 3246mW/2743mW/3246mW
08-10-2026 22:13:14 RAM 7525/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,96%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.375C/63.375C cpu@67.781C/67.843C soc2@59.968C/59.968C soc0@61.312C/61.312C cv1@62.437C/62.437C gpu@67.281C/67.281C tj@67.781C/67.906C soc1@60.125C/60.125C cv2@57.75C/57.75C VDD_IN 26330mW/13573mW/26330mW VDD_CPU_GPU_CV 16253mW/6747mW/16253mW VDD_SOC 4152mW/2919mW/4152mW
08-10-2026 22:13:15 RAM 7564/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.625C/63.625C cpu@68.312C/68.312C soc2@60.437C/60.437C soc0@61.718C/61.718C cv1@62.75C/62.75C gpu@68.312C/68.312C tj@68.312C/68.312C soc1@60.312C/60.312C cv2@58.125C/58.125C VDD_IN 30151mW/15415mW/30151mW VDD_CPU_GPU_CV 19267mW/8138mW/19267mW VDD_SOC 4421mW/3086mW/4421mW
08-10-2026 22:13:15 RAM 7624/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.906C/63.906C cpu@68.562C/68.562C soc2@60.75C/60.75C soc0@62C/62C cv1@63.031C/63.031C gpu@68.937C/68.937C tj@68.937C/68.937C soc1@60.687C/60.687C cv2@58.312C/58.312C VDD_IN 31761mW/17050mW/31761mW VDD_CPU_GPU_CV 20038mW/9328mW/20038mW VDD_SOC 4494mW/3227mW/4494mW
