08-10-2026 23:50:28 RAM 1683/15599MB (lfb 436x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@62.937C/62.937C cpu@66.968C/66.968C soc2@60.843C/60.843C soc0@63.875C/63.875C cv1@63.562C/63.562C gpu@65.468C/65.468C tj@66.968C/66.968C soc1@62.5C/62.5C cv2@59.812C/59.812C VDD_IN 6338mW/6338mW/6338mW VDD_CPU_GPU_CV 979mW/979mW/979mW VDD_SOC 2449mW/2449mW/2449mW
08-10-2026 23:50:28 RAM 1710/15599MB (lfb 436x4MB) CPU [5%@1984,5%@1984,0%@1984,0%@1984,0%@1267,0%@1267,0%@1267,0%@1267] GR3D_FREQ 0% cv0@63.093C/63.093C cpu@66.906C/66.968C soc2@60.906C/60.906C soc0@63.812C/63.875C cv1@63.5C/63.562C gpu@65.343C/65.468C tj@66.906C/66.968C soc1@62.562C/62.562C cv2@59.687C/59.812C VDD_IN 6379mW/6359mW/6379mW VDD_CPU_GPU_CV 979mW/979mW/979mW VDD_SOC 2449mW/2449mW/2449mW
08-10-2026 23:50:29 RAM 4847/15599MB (lfb 436x4MB) CPU [2%@1984,98%@1984,0%@1984,0%@1984,5%@1984,88%@1984,0%@1984,0%@1984] GR3D_FREQ 43% cv0@63.937C/63.937C cpu@68.531C/68.531C soc2@61.125C/61.125C soc0@63.937C/63.937C cv1@64.125C/64.125C gpu@66.156C/66.156C tj@68.531C/68.531C soc1@62.531C/62.562C cv2@59.781C/59.812C VDD_IN 10192mW/7636mW/10192mW VDD_CPU_GPU_CV 2808mW/1589mW/2808mW VDD_SOC 3220mW/2706mW/3220mW
08-10-2026 23:50:29 RAM 6403/15599MB (lfb 436x4MB) CPU [0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,100%@1984,0%@1984,0%@1984] GR3D_FREQ 21% cv0@63.968C/63.968C cpu@68.625C/68.625C soc2@61.437C/61.437C soc0@63.843C/63.937C cv1@64.218C/64.218C gpu@66.125C/66.156C tj@68.625C/68.625C soc1@62.562C/62.562C cv2@59.812C/59.812C VDD_IN 12699mW/8902mW/12699mW VDD_CPU_GPU_CV 3895mW/2165mW/3895mW VDD_SOC 3785mW/2976mW/3785mW
08-10-2026 23:50:30 RAM 6544/15599MB (lfb 436x4MB) CPU [1%@1984,90%@1984,1%@1984,0%@1984,0%@1984,91%@1984,0%@1984,0%@1984] GR3D_FREQ 23% cv0@64.375C/64.375C cpu@68.375C/68.625C soc2@61.312C/61.437C soc0@63.875C/63.937C cv1@64.218C/64.218C gpu@65.531C/66.156C tj@68.375C/68.625C soc1@62.531C/62.562C cv2@60C/60C VDD_IN 10436mW/9209mW/12699mW VDD_CPU_GPU_CV 3616mW/2455mW/3895mW VDD_SOC 2935mW/2968mW/3785mW
08-10-2026 23:50:30 RAM 6678/15599MB (lfb 436x4MB) CPU [0%@1984,88%@1984,0%@1984,0%@1984,0%@1984,86%@1984,0%@1984,0%@1984] GR3D_FREQ 32% cv0@64.375C/64.375C cpu@68.25C/68.625C soc2@61.281C/61.437C soc0@63.843C/63.937C cv1@64.156C/64.218C gpu@65.781C/66.156C tj@68.25C/68.625C soc1@62.468C/62.562C cv2@59.937C/60C VDD_IN 9539mW/9264mW/12699mW VDD_CPU_GPU_CV 3419mW/2616mW/3895mW VDD_SOC 2649mW/2915mW/3785mW
08-10-2026 23:50:31 RAM 10723/15599MB (lfb 55x4MB) CPU [0%@1984,96%@1984,2%@1984,0%@1984,0%@1984,98%@1984,1%@1984,0%@1984] GR3D_FREQ 42% cv0@64C/64.375C cpu@68.468C/68.625C soc2@61.25C/61.437C soc0@63.75C/63.937C cv1@64.062C/64.218C gpu@65.968C/66.156C tj@68.468C/68.625C soc1@62.593C/62.593C cv2@59.906C/60C VDD_IN 10885mW/9495mW/12699mW VDD_CPU_GPU_CV 3413mW/2730mW/3895mW VDD_SOC 3174mW/2952mW/3785mW
08-10-2026 23:50:31 RAM 12269/15599MB (lfb 9x4MB) CPU [0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,100%@1984,0%@1984,0%@1984] GR3D_FREQ 42% cv0@64C/64.375C cpu@68.468C/68.625C soc2@61.468C/61.468C soc0@63.937C/63.937C cv1@64.218C/64.218C gpu@66.531C/66.531C tj@68.468C/68.625C soc1@62.5C/62.593C cv2@59.875C/60C VDD_IN 13025mW/9937mW/13025mW VDD_CPU_GPU_CV 4179mW/2911mW/4179mW VDD_SOC 3826mW/3061mW/3826mW
08-10-2026 23:50:32 RAM 12393/15599MB (lfb 2x4MB) CPU [0%@729,43%@729,0%@729,0%@729,1%@806,73%@806,0%@806,0%@806] GR3D_FREQ 99% cv0@63.437C/64.375C cpu@67.875C/68.625C soc2@61.5C/61.5C soc0@63.875C/63.937C cv1@64.062C/64.218C gpu@70.906C/70.906C tj@70.906C/70.906C soc1@62.5C/62.593C cv2@59.906C/60C VDD_IN 21268mW/11196mW/21268mW VDD_CPU_GPU_CV 11253mW/3838mW/11253mW VDD_SOC 4247mW/3193mW/4247mW
08-10-2026 23:50:32 RAM 12424/15599MB (lfb 2x4MB) CPU [0%@1984,76%@1984,0%@1984,0%@1984,0%@729,68%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@64.437C/64.437C cpu@68.625C/68.625C soc2@62.093C/62.093C soc0@64.187C/64.187C cv1@64.218C/64.218C gpu@72.125C/72.125C tj@72.125C/72.125C soc1@62.531C/62.593C cv2@60.156C/60.156C VDD_IN 28183mW/12894mW/28183mW VDD_CPU_GPU_CV 16693mW/5123mW/16693mW VDD_SOC 4750mW/3348mW/4750mW
