08-10-2026 21:06:37 RAM 2835/15599MB (lfb 54x4MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@960,0%@960,0%@960,0%@960] GR3D_FREQ 0% cv0@60.375C/60.375C cpu@64.437C/64.437C soc2@58.406C/58.406C soc0@61.281C/61.281C cv1@61.031C/61.031C gpu@62.812C/62.812C tj@64.437C/64.437C soc1@60C/60C cv2@57.156C/57.156C VDD_IN 6257mW/6257mW/6257mW VDD_CPU_GPU_CV 898mW/898mW/898mW VDD_SOC 2412mW/2412mW/2412mW
08-10-2026 21:06:37 RAM 2851/15599MB (lfb 54x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1497,0%@1497,0%@1497,5%@1497] GR3D_FREQ 0% cv0@60.468C/60.468C cpu@64.531C/64.531C soc2@58.343C/58.406C soc0@61.312C/61.312C cv1@60.968C/61.031C gpu@63C/63C tj@64.531C/64.531C soc1@59.968C/60C cv2@57.343C/57.343C VDD_IN 6257mW/6257mW/6257mW VDD_CPU_GPU_CV 898mW/898mW/898mW VDD_SOC 2409mW/2411mW/2412mW
08-10-2026 21:06:38 RAM 3545/15599MB (lfb 54x4MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@1984,0%@1984,0%@1984,97%@1984] GR3D_FREQ 26% cv0@60.687C/60.687C cpu@65.218C/65.218C soc2@58.5C/58.5C soc0@61.218C/61.312C cv1@61.218C/61.218C gpu@63.187C/63.187C tj@65.218C/65.218C soc1@60C/60C cv2@57.343C/57.343C VDD_IN 8901mW/7138mW/8901mW VDD_CPU_GPU_CV 2157mW/1318mW/2157mW VDD_SOC 2894mW/2572mW/2894mW
08-10-2026 21:06:38 RAM 3607/15599MB (lfb 54x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,1%@1984,0%@1984,88%@1984] GR3D_FREQ 15% cv0@60.656C/60.687C cpu@65.031C/65.218C soc2@58.5C/58.5C soc0@61.25C/61.312C cv1@61.218C/61.218C gpu@63C/63.187C tj@65.031C/65.218C soc1@60.156C/60.156C cv2@57.343C/57.343C VDD_IN 8288mW/7426mW/8901mW VDD_CPU_GPU_CV 2323mW/1569mW/2323mW VDD_SOC 2613mW/2582mW/2894mW
08-10-2026 21:06:39 RAM 4527/15599MB (lfb 12x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,1%@1984,92%@1984] GR3D_FREQ 49% cv0@60.656C/60.687C cpu@65.187C/65.218C soc2@58.5C/58.5C soc0@61.406C/61.406C cv1@61.312C/61.312C gpu@63.187C/63.187C tj@65.187C/65.218C soc1@60.062C/60.156C cv2@57.343C/57.343C VDD_IN 8452mW/7631mW/8901mW VDD_CPU_GPU_CV 2364mW/1728mW/2364mW VDD_SOC 2654mW/2596mW/2894mW
08-10-2026 21:06:39 RAM 5169/15599MB (lfb 12x4MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@1958,0%@1958,1%@1958,92%@1958] GR3D_FREQ 26% cv0@60.718C/60.718C cpu@65.156C/65.218C soc2@58.687C/58.687C soc0@61.406C/61.406C cv1@61.406C/61.406C gpu@63.062C/63.187C tj@65.156C/65.218C soc1@60.093C/60.156C cv2@57.343C/57.343C VDD_IN 9146mW/7884mW/9146mW VDD_CPU_GPU_CV 2605mW/1874mW/2605mW VDD_SOC 2812mW/2632mW/2894mW
08-10-2026 21:06:40 RAM 5260/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,79%@1984] GR3D_FREQ 98% cv0@60.75C/60.75C cpu@65.125C/65.218C soc2@58.687C/58.687C soc0@61.312C/61.406C cv1@61.406C/61.406C gpu@65.5C/65.5C tj@65.5C/65.5C soc1@60.125C/60.156C cv2@57.5C/57.5C VDD_IN 13513mW/8688mW/13513mW VDD_CPU_GPU_CV 5153mW/2343mW/5153mW VDD_SOC 3616mW/2773mW/3616mW
08-10-2026 21:06:40 RAM 5260/15599MB (lfb 13x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@1984,1%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@61.156C/61.156C cpu@65.781C/65.781C soc2@59.187C/59.187C soc0@61.5C/61.5C cv1@61.687C/61.687C gpu@66.875C/66.875C tj@66.875C/66.875C soc1@60.125C/60.156C cv2@57.625C/57.625C VDD_IN 21963mW/10347mW/21963mW VDD_CPU_GPU_CV 9766mW/3271mW/9766mW VDD_SOC 5249mW/3082mW/5249mW
08-10-2026 21:06:41 RAM 5244/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@61.437C/61.437C cpu@65.875C/65.875C soc2@59.562C/59.562C soc0@61.781C/61.781C cv1@61.875C/61.875C gpu@67.343C/67.343C tj@67.343C/67.343C soc1@60.406C/60.406C cv2@57.812C/57.812C VDD_IN 24553mW/11926mW/24553mW VDD_CPU_GPU_CV 11195mW/4151mW/11195mW VDD_SOC 5765mW/3380mW/5765mW
08-10-2026 21:06:41 RAM 5244/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@61.687C/61.687C cpu@66.406C/66.406C soc2@59.906C/59.906C soc0@62.187C/62.187C cv1@62.218C/62.218C gpu@67.656C/67.656C tj@67.656C/67.656C soc1@60.5C/60.5C cv2@57.968C/57.968C VDD_IN 25401mW/13273mW/25401mW VDD_CPU_GPU_CV 11658mW/4902mW/11658mW VDD_SOC 5927mW/3635mW/5927mW
08-10-2026 21:06:42 RAM 5236/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@61.875C/61.875C cpu@66.593C/66.593C soc2@60.156C/60.156C soc0@62.312C/62.312C cv1@62.281C/62.281C gpu@67.718C/67.718C tj@67.718C/67.718C soc1@60.593C/60.593C cv2@58.156C/58.156C VDD_IN 25643mW/14398mW/25643mW VDD_CPU_GPU_CV 11818mW/5530mW/11818mW VDD_SOC 6007mW/3851mW/6007mW
08-10-2026 21:06:42 RAM 5236/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@62.187C/62.187C cpu@66.75C/66.75C soc2@60.343C/60.343C soc0@62.531C/62.531C cv1@62.468C/62.468C gpu@68C/68C tj@68C/68C soc1@60.718C/60.718C cv2@58.5C/58.5C VDD_IN 25724mW/15341mW/25724mW VDD_CPU_GPU_CV 11858mW/6058mW/11858mW VDD_SOC 6007mW/4030mW/6007mW
08-10-2026 21:06:43 RAM 5228/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,1%@1984,0%@1984,100%@1984] GR3D_FREQ 97% cv0@62.343C/62.343C cpu@66.843C/66.843C soc2@60.5C/60.5C soc0@62.781C/62.781C cv1@62.687C/62.687C gpu@68.375C/68.375C tj@68.375C/68.375C soc1@60.968C/60.968C cv2@58.625C/58.625C VDD_IN 25764mW/16143mW/25764mW VDD_CPU_GPU_CV 11899mW/6507mW/11899mW VDD_SOC 6007mW/4182mW/6007mW
08-10-2026 21:06:44 RAM 5220/15599MB (lfb 13x4MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@62.468C/62.468C cpu@67.125C/67.125C soc2@60.656C/60.656C soc0@62.812C/62.812C cv1@62.875C/62.875C gpu@68.343C/68.375C tj@68.343C/68.375C soc1@61.125C/61.125C cv2@58.75C/58.75C VDD_IN 25886mW/16839mW/25886mW VDD_CPU_GPU_CV 11899mW/6892mW/11899mW VDD_SOC 6007mW/4313mW/6007mW
08-10-2026 21:06:44 RAM 5220/15599MB (lfb 13x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,1%@1984,100%@1984] GR3D_FREQ 98% cv0@62.625C/62.625C cpu@67.25C/67.25C soc2@60.937C/60.937C soc0@63.125C/63.125C cv1@63.062C/63.062C gpu@68.781C/68.781C tj@68.781C/68.781C soc1@61.187C/61.187C cv2@58.906C/58.906C VDD_IN 25966mW/17448mW/25966mW VDD_CPU_GPU_CV 11899mW/7226mW/11899mW VDD_SOC 6007mW/4426mW/6007mW
08-10-2026 21:06:45 RAM 5220/15599MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@62.75C/62.75C cpu@67.406C/67.406C soc2@60.968C/60.968C soc0@63.218C/63.218C cv1@63.156C/63.156C gpu@68.843C/68.843C tj@68.843C/68.843C soc1@61.312C/61.312C cv2@59.187C/59.187C VDD_IN 25966mW/17980mW/25966mW VDD_CPU_GPU_CV 11899mW/7518mW/11899mW VDD_SOC 6007mW/4525mW/6007mW
08-10-2026 21:06:45 RAM 5213/15599MB (lfb 15x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@63C/63C cpu@67.5C/67.5C soc2@61.187C/61.187C soc0@63.343C/63.343C cv1@63.312C/63.312C gpu@69.187C/69.187C tj@69.187C/69.187C soc1@61.343C/61.343C cv2@59.343C/59.343C VDD_IN 25926mW/18447mW/25966mW VDD_CPU_GPU_CV 11939mW/7778mW/11939mW VDD_SOC 6007mW/4612mW/6007mW
08-10-2026 21:06:46 RAM 5213/15599MB (lfb 15x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@63.093C/63.093C cpu@67.687C/67.687C soc2@61.406C/61.406C soc0@63.437C/63.437C cv1@63.437C/63.437C gpu@69.187C/69.187C tj@69.187C/69.187C soc1@61.656C/61.656C cv2@59.343C/59.343C VDD_IN 25966mW/18865mW/25966mW VDD_CPU_GPU_CV 11939mW/8009mW/11939mW VDD_SOC 6007mW/4689mW/6007mW
08-10-2026 21:06:46 RAM 5206/15599MB (lfb 15x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@63.25C/63.25C cpu@67.812C/67.812C soc2@61.437C/61.437C soc0@63.562C/63.562C cv1@63.5C/63.5C gpu@69.281C/69.281C tj@69.281C/69.281C soc1@61.687C/61.687C cv2@59.531C/59.531C VDD_IN 26007mW/19241mW/26007mW VDD_CPU_GPU_CV 11939mW/8216mW/11939mW VDD_SOC 6007mW/4759mW/6007mW
08-10-2026 21:06:47 RAM 5206/15599MB (lfb 15x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 98% cv0@63.406C/63.406C cpu@68C/68C soc2@61.468C/61.468C soc0@63.812C/63.812C cv1@63.843C/63.843C gpu@69.375C/69.375C tj@69.375C/69.375C soc1@61.843C/61.843C cv2@59.656C/59.656C VDD_IN 26007mW/19579mW/26007mW VDD_CPU_GPU_CV 11939mW/8402mW/11939mW VDD_SOC 6007mW/4821mW/6007mW
