08-10-2026 21:40:11 RAM 2614/15599MB (lfb 48x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@59.781C/59.781C cpu@63.75C/63.75C soc2@57.687C/57.687C soc0@60.531C/60.531C cv1@60.406C/60.406C gpu@62.343C/62.343C tj@63.75C/63.75C soc1@59.5C/59.5C cv2@56.718C/56.718C VDD_IN 6216mW/6216mW/6216mW VDD_CPU_GPU_CV 898mW/898mW/898mW VDD_SOC 2409mW/2409mW/2409mW
08-10-2026 21:40:12 RAM 2621/15599MB (lfb 48x4MB) CPU [5%@1958,3%@1958,1%@1958,3%@1958,6%@1984,3%@1984,1%@1984,3%@1984] GR3D_FREQ 0% cv0@60.468C/60.468C cpu@64.531C/64.531C soc2@57.812C/57.812C soc0@60.656C/60.656C cv1@60.468C/60.468C gpu@62.343C/62.343C tj@64.531C/64.531C soc1@59.343C/59.5C cv2@56.812C/56.812C VDD_IN 6379mW/6298mW/6379mW VDD_CPU_GPU_CV 1061mW/980mW/1061mW VDD_SOC 2409mW/2409mW/2409mW
08-10-2026 21:40:12 RAM 2635/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.625C/62.625C cpu@66.937C/66.937C soc2@58.843C/58.843C soc0@60.843C/60.843C cv1@61.687C/61.687C gpu@64.5C/64.5C tj@67.093C/67.093C soc1@59.562C/59.562C cv2@57.125C/57.125C VDD_IN 13839mW/8811mW/13839mW VDD_CPU_GPU_CV 8345mW/3435mW/8345mW VDD_SOC 2397mW/2405mW/2409mW
08-10-2026 21:40:13 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.937C/62.937C cpu@67.468C/67.468C soc2@59.312C/59.312C soc0@61C/61C cv1@62.062C/62.062C gpu@64.937C/64.937C tj@67.468C/67.468C soc1@59.875C/59.875C cv2@57.406C/57.406C VDD_IN 16337mW/10693mW/16337mW VDD_CPU_GPU_CV 10782mW/5272mW/10782mW VDD_SOC 2393mW/2402mW/2409mW
08-10-2026 21:40:13 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.187C/63.187C cpu@67.937C/67.937C soc2@59.75C/59.75C soc0@61.375C/61.375C cv1@62.406C/62.406C gpu@65.25C/65.25C tj@67.937C/67.937C soc1@60.093C/60.093C cv2@57.656C/57.656C VDD_IN 17123mW/11979mW/17123mW VDD_CPU_GPU_CV 11491mW/6515mW/11491mW VDD_SOC 2434mW/2408mW/2434mW
08-10-2026 21:40:14 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.593C/63.593C cpu@68.093C/68.093C soc2@59.968C/59.968C soc0@61.5C/61.5C cv1@62.656C/62.656C gpu@65.5C/65.5C tj@67.937C/67.937C soc1@60.25C/60.25C cv2@57.875C/57.875C VDD_IN 17325mW/12870mW/17325mW VDD_CPU_GPU_CV 11733mW/7385mW/11733mW VDD_SOC 2434mW/2413mW/2434mW
08-10-2026 21:40:14 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.625C/63.625C cpu@68.343C/68.343C soc2@60.125C/60.125C soc0@61.75C/61.75C cv1@62.843C/62.843C gpu@65.781C/65.781C tj@68.343C/68.343C soc1@60.437C/60.437C cv2@58.187C/58.187C VDD_IN 17407mW/13518mW/17407mW VDD_CPU_GPU_CV 11813mW/8018mW/11813mW VDD_SOC 2434mW/2416mW/2434mW
08-10-2026 21:40:15 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64C/64C cpu@68.406C/68.406C soc2@60.343C/60.343C soc0@61.875C/61.875C cv1@63.062C/63.062C gpu@65.906C/65.906C tj@68.406C/68.406C soc1@60.562C/60.562C cv2@58.343C/58.343C VDD_IN 17447mW/14009mW/17447mW VDD_CPU_GPU_CV 11813mW/8492mW/11813mW VDD_SOC 2434mW/2418mW/2434mW
08-10-2026 21:40:15 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.125C/64.125C cpu@68.656C/68.656C soc2@60.531C/60.531C soc0@61.906C/61.906C cv1@63.187C/63.187C gpu@66.187C/66.187C tj@68.656C/68.656C soc1@60.687C/60.687C cv2@58.5C/58.5C VDD_IN 17488mW/14396mW/17488mW VDD_CPU_GPU_CV 11854mW/8866mW/11854mW VDD_SOC 2434mW/2420mW/2434mW
08-10-2026 21:40:16 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.218C/64.218C cpu@68.656C/68.656C soc2@60.656C/60.656C soc0@62.062C/62.062C cv1@63.25C/63.25C gpu@66.281C/66.281C tj@68.656C/68.656C soc1@60.937C/60.937C cv2@58.718C/58.718C VDD_IN 17488mW/14705mW/17488mW VDD_CPU_GPU_CV 11854mW/9164mW/11854mW VDD_SOC 2434mW/2421mW/2434mW
08-10-2026 21:40:16 RAM 2636/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.312C/64.312C cpu@68.843C/68.843C soc2@60.75C/60.75C soc0@62.375C/62.375C cv1@63.531C/63.531C gpu@66.312C/66.312C tj@68.843C/68.843C soc1@61.125C/61.125C cv2@58.718C/58.718C VDD_IN 17488mW/14958mW/17488mW VDD_CPU_GPU_CV 11894mW/9413mW/11894mW VDD_SOC 2434mW/2422mW/2434mW
08-10-2026 21:40:17 RAM 2634/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.531C/64.531C cpu@69.218C/69.218C soc2@61.062C/61.062C soc0@62.468C/62.468C cv1@63.656C/63.656C gpu@66.718C/66.718C tj@69.218C/69.218C soc1@61.156C/61.156C cv2@58.875C/58.875C VDD_IN 17528mW/15172mW/17528mW VDD_CPU_GPU_CV 11934mW/9623mW/11934mW VDD_SOC 2434mW/2423mW/2434mW
08-10-2026 21:40:17 RAM 2634/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.593C/64.593C cpu@69.343C/69.343C soc2@61.187C/61.187C soc0@62.687C/62.687C cv1@63.812C/63.812C gpu@66.687C/66.718C tj@69.343C/69.343C soc1@61.312C/61.312C cv2@59.031C/59.031C VDD_IN 17488mW/15350mW/17528mW VDD_CPU_GPU_CV 11894mW/9797mW/11934mW VDD_SOC 2434mW/2424mW/2434mW
08-10-2026 21:40:18 RAM 2633/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.656C/64.656C cpu@69.406C/69.406C soc2@61.312C/61.312C soc0@62.781C/62.781C cv1@63.906C/63.906C gpu@66.718C/66.718C tj@69.406C/69.406C soc1@61.406C/61.406C cv2@59.281C/59.281C VDD_IN 17569mW/15509mW/17569mW VDD_CPU_GPU_CV 11934mW/9950mW/11934mW VDD_SOC 2434mW/2425mW/2434mW
08-10-2026 21:40:18 RAM 2633/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.968C/64.968C cpu@69.437C/69.437C soc2@61.437C/61.437C soc0@62.968C/62.968C cv1@64.093C/64.093C gpu@66.875C/66.875C tj@69.531C/69.531C soc1@61.5C/61.5C cv2@59.406C/59.406C VDD_IN 17569mW/15646mW/17569mW VDD_CPU_GPU_CV 11934mW/10082mW/11934mW VDD_SOC 2434mW/2425mW/2434mW
08-10-2026 21:40:19 RAM 2631/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.156C/65.156C cpu@69.562C/69.562C soc2@61.531C/61.531C soc0@62.968C/62.968C cv1@64.187C/64.187C gpu@67.125C/67.125C tj@69.562C/69.562C soc1@61.718C/61.718C cv2@59.437C/59.437C VDD_IN 17609mW/15769mW/17609mW VDD_CPU_GPU_CV 11975mW/10201mW/11975mW VDD_SOC 2434mW/2426mW/2434mW
08-10-2026 21:40:19 RAM 2631/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.218C/65.218C cpu@69.718C/69.718C soc2@61.781C/61.781C soc0@63.093C/63.093C cv1@64.25C/64.25C gpu@67.125C/67.125C tj@69.718C/69.718C soc1@61.937C/61.937C cv2@59.562C/59.562C VDD_IN 17609mW/15877mW/17609mW VDD_CPU_GPU_CV 11934mW/10303mW/11975mW VDD_SOC 2434mW/2426mW/2434mW
08-10-2026 21:40:20 RAM 2630/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.343C/65.343C cpu@69.843C/69.843C soc2@61.781C/61.781C soc0@63.343C/63.343C cv1@64.562C/64.562C gpu@67.312C/67.312C tj@69.843C/69.843C soc1@62.031C/62.031C cv2@59.687C/59.687C VDD_IN 17609mW/15973mW/17609mW VDD_CPU_GPU_CV 11975mW/10395mW/11975mW VDD_SOC 2434mW/2427mW/2434mW
08-10-2026 21:40:20 RAM 2630/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.343C/65.343C cpu@70.093C/70.093C soc2@62C/62C soc0@63.312C/63.343C cv1@64.5C/64.562C gpu@67.343C/67.343C tj@70.093C/70.093C soc1@62C/62.031C cv2@59.812C/59.812C VDD_IN 17609mW/16059mW/17609mW VDD_CPU_GPU_CV 11975mW/10479mW/11975mW VDD_SOC 2434mW/2427mW/2434mW
08-10-2026 21:40:21 RAM 2630/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.531C/65.531C cpu@70.312C/70.312C soc2@62C/62C soc0@63.5C/63.5C cv1@64.625C/64.625C gpu@67.531C/67.531C tj@70.312C/70.312C soc1@62.125C/62.125C cv2@60C/60C VDD_IN 17650mW/16139mW/17650mW VDD_CPU_GPU_CV 11975mW/10553mW/11975mW VDD_SOC 2434mW/2428mW/2434mW
08-10-2026 21:40:21 RAM 2630/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.687C/65.687C cpu@70.187C/70.312C soc2@62.093C/62.093C soc0@63.531C/63.531C cv1@64.625C/64.625C gpu@67.531C/67.531C tj@70.187C/70.312C soc1@62.156C/62.156C cv2@60.031C/60.031C VDD_IN 17609mW/16209mW/17650mW VDD_CPU_GPU_CV 11934mW/10619mW/11975mW VDD_SOC 2434mW/2428mW/2434mW
08-10-2026 21:40:22 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.718C/65.718C cpu@70.218C/70.312C soc2@62.187C/62.187C soc0@63.593C/63.593C cv1@64.718C/64.718C gpu@67.687C/67.687C tj@70.218C/70.312C soc1@62.218C/62.218C cv2@60.156C/60.156C VDD_IN 17569mW/16271mW/17650mW VDD_CPU_GPU_CV 11934mW/10679mW/11975mW VDD_SOC 2434mW/2428mW/2434mW
08-10-2026 21:40:22 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.718C/65.718C cpu@70.25C/70.312C soc2@62.187C/62.187C soc0@63.656C/63.656C cv1@64.812C/64.812C gpu@67.781C/67.781C tj@70.25C/70.312C soc1@62.406C/62.406C cv2@60.125C/60.156C VDD_IN 17569mW/16327mW/17650mW VDD_CPU_GPU_CV 11894mW/10732mW/11975mW VDD_SOC 2475mW/2430mW/2475mW
08-10-2026 21:40:23 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.687C/65.718C cpu@70.468C/70.468C soc2@62.281C/62.281C soc0@63.718C/63.718C cv1@64.906C/64.906C gpu@67.687C/67.781C tj@70.468C/70.468C soc1@62.375C/62.406C cv2@60.187C/60.187C VDD_IN 17569mW/16379mW/17650mW VDD_CPU_GPU_CV 11934mW/10782mW/11975mW VDD_SOC 2434mW/2430mW/2475mW
08-10-2026 21:40:23 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.687C/65.718C cpu@70.218C/70.468C soc2@62.25C/62.281C soc0@63.781C/63.781C cv1@64.937C/64.937C gpu@67.843C/67.843C tj@70.218C/70.468C soc1@62.343C/62.406C cv2@60.093C/60.187C VDD_IN 17609mW/16428mW/17650mW VDD_CPU_GPU_CV 11975mW/10830mW/11975mW VDD_SOC 2434mW/2431mW/2475mW
08-10-2026 21:40:24 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.718C/65.718C cpu@70.312C/70.468C soc2@62.375C/62.375C soc0@63.718C/63.781C cv1@64.906C/64.937C gpu@67.718C/67.843C tj@70.312C/70.468C soc1@62.343C/62.406C cv2@60.25C/60.25C VDD_IN 17569mW/16472mW/17650mW VDD_CPU_GPU_CV 11934mW/10872mW/11975mW VDD_SOC 2475mW/2432mW/2475mW
08-10-2026 21:40:24 RAM 2629/15599MB (lfb 48x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.843C/65.843C cpu@70.343C/70.468C soc2@62.25C/62.375C soc0@63.687C/63.781C cv1@64.875C/64.937C gpu@68.031C/68.031C tj@70.343C/70.468C soc1@62.343C/62.406C cv2@60.312C/60.312C VDD_IN 17609mW/16514mW/17650mW VDD_CPU_GPU_CV 11975mW/10913mW/11975mW VDD_SOC 2475mW/2434mW/2475mW
