08-10-2026 21:36:31 RAM 2650/15599MB (lfb 49x4MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@56.343C/56.343C cpu@60.312C/60.312C soc2@54.156C/54.156C soc0@57.156C/57.156C cv1@56.875C/56.875C gpu@58.625C/58.625C tj@60.312C/60.312C soc1@55.843C/55.843C cv2@53.343C/53.343C VDD_IN 6093mW/6093mW/6093mW VDD_CPU_GPU_CV 857mW/857mW/857mW VDD_SOC 2368mW/2368mW/2368mW
08-10-2026 21:36:31 RAM 2654/15599MB (lfb 49x4MB) CPU [5%@1984,3%@1984,3%@1984,3%@1984,3%@1651,3%@1651,7%@1651,2%@1651] GR3D_FREQ 0% cv0@57.093C/57.093C cpu@61.093C/61.093C soc2@54.281C/54.281C soc0@57.187C/57.187C cv1@57C/57C gpu@58.812C/58.812C tj@61.093C/61.093C soc1@55.937C/55.937C cv2@53.218C/53.343C VDD_IN 6297mW/6195mW/6297mW VDD_CPU_GPU_CV 1020mW/939mW/1020mW VDD_SOC 2368mW/2368mW/2368mW
08-10-2026 21:36:32 RAM 2656/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@59C/59C cpu@63.843C/63.843C soc2@55.343C/55.343C soc0@57.25C/57.25C cv1@58.187C/58.187C gpu@60.843C/60.843C tj@63.843C/63.843C soc1@56C/56C cv2@53.625C/53.625C VDD_IN 13757mW/8716mW/13757mW VDD_CPU_GPU_CV 8291mW/3389mW/8291mW VDD_SOC 2357mW/2364mW/2368mW
08-10-2026 21:36:32 RAM 2654/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@59.531C/59.531C cpu@64C/64C soc2@55.75C/55.75C soc0@57.312C/57.312C cv1@58.468C/58.468C gpu@61.218C/61.218C tj@64C/64C soc1@56.218C/56.218C cv2@54.031C/54.031C VDD_IN 16134mW/10570mW/16134mW VDD_CPU_GPU_CV 10580mW/5187mW/10580mW VDD_SOC 2393mW/2372mW/2393mW
08-10-2026 21:36:33 RAM 2650/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@59.687C/59.687C cpu@64.218C/64.218C soc2@56.062C/56.062C soc0@57.625C/57.625C cv1@58.656C/58.656C gpu@61.812C/61.812C tj@64.218C/64.218C soc1@56.375C/56.375C cv2@54.156C/54.156C VDD_IN 16839mW/11824mW/16839mW VDD_CPU_GPU_CV 11289mW/6407mW/11289mW VDD_SOC 2393mW/2376mW/2393mW
08-10-2026 21:36:33 RAM 2650/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@59.906C/59.906C cpu@64.687C/64.687C soc2@56.218C/56.218C soc0@57.718C/57.718C cv1@58.906C/58.906C gpu@62.031C/62.031C tj@64.531C/64.531C soc1@56.718C/56.718C cv2@54.312C/54.312C VDD_IN 17041mW/12694mW/17041mW VDD_CPU_GPU_CV 11491mW/7255mW/11491mW VDD_SOC 2393mW/2379mW/2393mW
08-10-2026 21:36:34 RAM 2646/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.062C/60.062C cpu@64.593C/64.687C soc2@56.437C/56.437C soc0@58.031C/58.031C cv1@59.125C/59.125C gpu@62.125C/62.125C tj@64.593C/64.593C soc1@56.843C/56.843C cv2@54.468C/54.468C VDD_IN 17123mW/13326mW/17123mW VDD_CPU_GPU_CV 11571mW/7871mW/11571mW VDD_SOC 2393mW/2381mW/2393mW
08-10-2026 21:36:34 RAM 2647/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.125C/60.125C cpu@64.843C/64.843C soc2@56.593C/56.593C soc0@58.156C/58.156C cv1@59.343C/59.343C gpu@62.156C/62.156C tj@64.843C/64.843C soc1@56.937C/56.937C cv2@54.625C/54.625C VDD_IN 17163mW/13806mW/17163mW VDD_CPU_GPU_CV 11612mW/8339mW/11612mW VDD_SOC 2393mW/2382mW/2393mW
08-10-2026 21:36:35 RAM 2644/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.343C/60.343C cpu@65.062C/65.062C soc2@56.687C/56.687C soc0@58.187C/58.187C cv1@59.5C/59.5C gpu@62.625C/62.625C tj@65.062C/65.062C soc1@56.937C/56.937C cv2@54.812C/54.812C VDD_IN 17163mW/14179mW/17163mW VDD_CPU_GPU_CV 11612mW/8703mW/11612mW VDD_SOC 2393mW/2383mW/2393mW
08-10-2026 21:36:35 RAM 2644/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.5C/60.5C cpu@65.125C/65.125C soc2@56.843C/56.843C soc0@58.281C/58.281C cv1@59.593C/59.593C gpu@62.625C/62.625C tj@65.125C/65.125C soc1@57.125C/57.125C cv2@55.031C/55.031C VDD_IN 17163mW/14477mW/17163mW VDD_CPU_GPU_CV 11612mW/8994mW/11612mW VDD_SOC 2393mW/2384mW/2393mW
