08-11-2026 00:05:59 RAM 2512/15599MB (lfb 535x4MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@50.031C/50.031C cpu@53.843C/53.843C soc2@47.875C/47.875C soc0@50.75C/50.75C cv1@50.531C/50.531C gpu@52.625C/52.625C tj@53.843C/53.843C soc1@49.625C/49.625C cv2@47.468C/47.468C VDD_IN 5961mW/5961mW/5961mW VDD_CPU_GPU_CV 775mW/775mW/775mW VDD_SOC 2368mW/2368mW/2368mW
08-11-2026 00:05:59 RAM 2543/15599MB (lfb 535x4MB) CPU [0%@1036,0%@1036,0%@1036,0%@1036,4%@1984,0%@1984,0%@1984,4%@1984] GR3D_FREQ 0% cv0@50.468C/50.468C cpu@54.312C/54.312C soc2@47.812C/47.875C soc0@50.593C/50.75C cv1@50.531C/50.531C gpu@52.312C/52.625C tj@54.312C/54.312C soc1@49.593C/49.625C cv2@47.656C/47.656C VDD_IN 6083mW/6022mW/6083mW VDD_CPU_GPU_CV 857mW/816mW/857mW VDD_SOC 2368mW/2368mW/2368mW
08-11-2026 00:06:00 RAM 4590/15599MB (lfb 535x4MB) CPU [3%@1984,0%@1984,90%@1984,0%@1984,8%@1881,0%@1881,49%@1881,44%@1881] GR3D_FREQ 27% cv0@50.531C/50.531C cpu@54.875C/54.875C soc2@47.968C/47.968C soc0@50.625C/50.75C cv1@50.687C/50.687C gpu@53.406C/53.406C tj@54.875C/54.875C soc1@49.562C/49.625C cv2@47.625C/47.656C VDD_IN 9865mW/7303mW/9865mW VDD_CPU_GPU_CV 2605mW/1412mW/2605mW VDD_SOC 3179mW/2638mW/3179mW
08-11-2026 00:06:01 RAM 6144/15599MB (lfb 535x4MB) CPU [1%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,96%@1984] GR3D_FREQ 32% cv0@50.593C/50.593C cpu@54.906C/54.906C soc2@48.218C/48.218C soc0@50.656C/50.75C cv1@50.812C/50.812C gpu@53.562C/53.562C tj@54.906C/54.906C soc1@49.843C/49.843C cv2@47.718C/47.718C VDD_IN 12048mW/8489mW/12048mW VDD_CPU_GPU_CV 3611mW/1962mW/3611mW VDD_SOC 3704mW/2905mW/3704mW
08-11-2026 00:06:01 RAM 6301/15599MB (lfb 535x4MB) CPU [0%@1984,0%@1984,94%@1984,0%@1984,0%@1984,0%@1984,1%@1984,92%@1984] GR3D_FREQ 18% cv0@50.562C/50.593C cpu@54.937C/54.937C soc2@48.156C/48.218C soc0@50.875C/50.875C cv1@50.843C/50.843C gpu@52.937C/53.562C tj@54.937C/54.937C soc1@49.781C/49.843C cv2@47.718C/47.718C VDD_IN 9988mW/8789mW/12048mW VDD_CPU_GPU_CV 3373mW/2244mW/3611mW VDD_SOC 2853mW/2894mW/3704mW
08-11-2026 00:06:02 RAM 6427/15599MB (lfb 535x4MB) CPU [0%@1984,0%@1984,90%@1984,0%@1984,0%@1984,0%@1984,0%@1984,92%@1984] GR3D_FREQ 11% cv0@50.5C/50.593C cpu@54.781C/54.937C soc2@48.187C/48.218C soc0@50.781C/50.875C cv1@50.875C/50.875C gpu@52.906C/53.562C tj@54.781C/54.937C soc1@49.75C/49.843C cv2@47.75C/47.75C VDD_IN 9172mW/8853mW/12048mW VDD_CPU_GPU_CV 3215mW/2406mW/3611mW VDD_SOC 2568mW/2840mW/3704mW
08-11-2026 00:06:02 RAM 10467/15599MB (lfb 122x4MB) CPU [1%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,98%@1984] GR3D_FREQ 40% cv0@50.687C/50.687C cpu@55.25C/55.25C soc2@48.156C/48.218C soc0@50.718C/50.875C cv1@50.906C/50.906C gpu@53.468C/53.562C tj@55.25C/55.25C soc1@49.656C/49.843C cv2@47.812C/47.812C VDD_IN 10762mW/9126mW/12048mW VDD_CPU_GPU_CV 3291mW/2532mW/3611mW VDD_SOC 3174mW/2888mW/3704mW
08-11-2026 00:06:03 RAM 12018/15599MB (lfb 8x4MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,1%@1984,100%@1984] GR3D_FREQ 43% cv0@50.781C/50.781C cpu@55.25C/55.25C soc2@48.375C/48.375C soc0@50.812C/50.875C cv1@50.968C/50.968C gpu@53.625C/53.625C tj@55.25C/55.25C soc1@49.687C/49.843C cv2@47.843C/47.843C VDD_IN 12658mW/9567mW/12658mW VDD_CPU_GPU_CV 3895mW/2703mW/3895mW VDD_SOC 3738mW/2994mW/3738mW
08-11-2026 00:06:03 RAM 12113/15599MB (lfb 1x4MB) CPU [1%@729,0%@729,68%@729,0%@729,0%@729,0%@729,1%@729,24%@729] GR3D_FREQ 99% cv0@50.937C/50.937C cpu@54.843C/55.25C soc2@48.75C/48.75C soc0@51.031C/51.031C cv1@51.062C/51.062C gpu@57.968C/57.968C tj@57.968C/57.968C soc1@49.906C/49.906C cv2@47.843C/47.843C VDD_IN 22853mW/11043mW/22853mW VDD_CPU_GPU_CV 12279mW/3767mW/12279mW VDD_SOC 4482mW/3159mW/4482mW
08-11-2026 00:06:04 RAM 12145/15599MB (lfb 2x1MB) CPU [0%@729,0%@729,70%@729,0%@729,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@51.281C/51.281C cpu@55.531C/55.531C soc2@49.406C/49.406C soc0@51.5C/51.5C cv1@51.531C/51.531C gpu@61.031C/61.031C tj@61.031C/61.031C soc1@50C/50C cv2@48.156C/48.156C VDD_IN 28179mW/12757mW/28179mW VDD_CPU_GPU_CV 16693mW/5059mW/16693mW VDD_SOC 4830mW/3326mW/4830mW
