# Jetson Orin Nano 8GB (P3767-0000) thermal characterization, 2026-08-03
# Retuned nvfancontrol 'quiet' curve; combined load: stress --cpu 6 + GPU FMA burn (8 SMs)
# NOTE: nvpmodel_requested=2 (MAXN_SUPER) but the switch did not apply; achieved clocks
#       (cpu0_mhz 1344 / gpu_mhz 918) show the run executed at the 25W caps. See Finding #5.
t_s,phase,nvpmodel_requested,tj_c,cpu_c,gpu_c,soc1_c,fan_rpm,fan_pwm,cpu0_mhz,gpu_mhz,vdd_in_mw
0,idle,2,45,44,44,45,3266,117,1190,306,4518
5,idle,2,45,44,44,45,3266,117,1190,306,4477
10,idle,2,45,44,44,45,3263,117,1344,306,4680
15,idle,2,45,44,44,45,3266,117,1190,306,4518
20,idle,2,45,44,44,45,3263,117,1190,306,4518
25,idle,2,45,44,44,45,3263,117,1190,306,4477
30,idle,2,45,43,44,45,3263,117,1113,306,4477
35,idle,2,45,44,43,45,3263,117,1190,306,4518
40,idle,2,45,44,43,45,3266,117,1190,306,4477
45,idle,2,45,43,43,45,3266,117,1190,306,4518
50,idle,2,45,43,44,45,3266,117,1190,306,4518
55,idle,2,45,43,43,45,3262,117,1113,306,4477
60,load,2,47,46,46,45,3369,121,1344,918,12700
65,load,2,48,47,48,46,3542,127,1344,918,12822
70,load,2,48,47,48,47,3683,132,1344,918,12862
75,load,2,49,48,49,47,3687,132,1344,918,12822
80,load,2,49,49,49,48,3828,137,1344,918,12862
85,load,2,50,49,50,48,3965,143,1344,918,12902
90,load,2,51,50,51,49,3992,143,1344,918,12902
95,load,2,51,50,51,50,4233,153,1344,918,12902
100,load,2,52,51,52,50,4257,153,1344,918,12943
105,load,2,52,51,52,50,4257,153,1344,918,12943
110,load,2,52,51,52,50,4544,164,1344,918,12781
115,load,2,53,52,52,51,4537,164,1344,918,12822
120,load,2,53,52,53,51,4529,164,1344,918,12781
125,load,2,53,52,53,51,4537,164,1344,918,12822
130,load,2,53,53,53,52,4807,175,1344,918,12781
135,load,2,53,53,53,52,4815,175,1344,918,12822
140,load,2,54,53,54,52,4815,175,1344,918,12862
145,load,2,54,53,54,52,4807,175,1344,918,12822
150,load,2,54,53,54,52,4806,175,1344,918,12862
155,load,2,54,53,54,53,5102,187,1344,918,12862
160,load,2,54,53,54,53,5110,187,1344,918,12822
165,load,2,54,53,55,53,5102,187,1344,918,12862
170,load,2,54,54,55,53,5101,187,1344,918,12862
175,load,2,55,54,54,53,5110,187,1344,918,12862
180,load,2,55,54,55,53,5102,187,1344,918,12781
185,load,2,55,54,55,53,5102,187,1344,918,12781
190,load,2,55,54,55,53,5111,187,1344,918,12822
195,load,2,55,54,55,53,5111,187,1344,918,12822
200,load,2,55,54,55,53,5111,187,1344,918,12822
205,load,2,55,54,55,54,5112,187,1344,918,12822
210,load,2,55,54,55,54,5366,198,1344,918,12822
215,load,2,55,54,55,54,5364,198,1344,918,12781
220,load,2,55,54,55,53,5364,198,1344,918,12822
225,load,2,56,54,55,54,5364,198,1344,918,12781
230,load,2,55,55,56,54,5364,198,1344,918,12822
235,load,2,56,54,55,54,5374,198,1344,918,12822
240,load,2,55,54,55,54,5364,198,1344,918,12822
245,load,2,56,55,55,54,5354,198,1344,918,12822
250,load,2,56,54,56,54,5364,198,1344,918,12822
255,load,2,55,55,55,54,5364,198,1344,918,12781
260,load,2,56,55,56,54,5365,198,1344,918,12822
265,load,2,56,55,56,54,5365,198,1344,918,12781
270,load,2,56,55,56,54,5365,198,1344,918,12822
275,load,2,56,55,56,54,5365,198,1344,918,12822
280,load,2,56,55,56,54,5366,198,1344,918,12822
285,load,2,56,55,56,54,5366,198,1344,918,12822
290,load,2,56,55,56,54,5366,198,1344,918,12822
295,load,2,56,55,56,54,5375,198,1344,918,12822
300,load,2,56,55,56,54,5367,198,1344,918,12822
305,load,2,56,55,56,54,5367,198,1344,918,12781
310,load,2,56,55,56,54,5366,210,1344,918,12822
315,load,2,56,55,56,55,5486,203,1344,918,12822
320,load,2,56,55,56,54,5656,211,1344,918,12822
325,load,2,56,55,56,54,5475,203,1344,918,12822
330,load,2,56,55,56,55,5656,211,1344,918,12862
335,load,2,57,55,56,54,5666,211,1344,918,12862
340,load,2,56,55,56,54,5666,211,1344,918,12822
345,load,2,56,55,56,55,5666,211,1344,918,12862
350,load,2,56,55,56,55,5666,211,1344,918,12822
355,load,2,56,55,57,55,5655,211,1344,918,12822
360,cool,2,55,55,55,55,5666,211,1190,918,11059
365,cool,2,54,52,52,54,5083,179,1113,306,4551
370,cool,2,53,51,51,53,4931,179,1113,306,4592
375,cool,2,53,51,51,53,4604,166,1113,306,4592
380,cool,2,52,50,51,52,4605,166,1113,306,4592
385,cool,2,52,50,50,52,4337,155,1190,306,4551
390,cool,2,51,50,50,51,4331,155,1113,306,4551
395,cool,2,51,49,49,51,4331,155,729,306,4551
400,cool,2,51,49,49,51,4041,144,1190,306,4551
405,cool,2,50,49,49,50,4047,144,1190,306,4551
410,cool,2,50,49,49,50,4042,144,1190,306,4551
415,cool,2,50,48,48,50,4042,144,1190,306,4551
420,cool,2,50,48,48,50,3879,138,1113,306,4551
425,cool,2,49,48,48,49,3873,138,1190,306,4511
430,cool,2,49,48,47,49,3879,138,1190,306,4551
435,cool,2,49,48,47,49,3873,138,1113,306,4511
440,cool,2,49,48,47,49,3878,138,1113,306,4511
445,cool,2,49,47,47,49,3728,132,1113,306,4511
450,cool,2,49,47,47,49,3709,132,1190,306,4511
455,cool,2,48,47,47,48,3709,132,1113,306,4511
460,cool,2,48,47,47,48,3704,132,1190,306,4511
465,cool,2,48,47,47,48,3699,132,729,306,4511
470,cool,2,48,47,46,48,3695,132,1113,306,4511
475,cool,2,48,47,46,48,3699,132,1190,306,4511
