t_s,phase,nvpmodel,cpu_max_mhz,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,gpu_mhz,vdd_in_mw,cpu_gpu_mw,soc_mw
0,idle,2,1728,46,45,45,6266,255,1728,1020,7384,2150,2312
10,idle,2,1728,46,45,45,6279,255,1728,1020,6461,1460,2235
20,idle,2,1728,46,45,45,6265,255,1728,1020,6421,1460,2235
30,idle,2,1728,46,44,44,6266,255,1728,1020,6502,1460,2316
40,idle,2,1728,45,44,44,6266,255,1728,1020,6421,1460,2235
50,idle,2,1728,45,44,44,6266,255,1728,1020,6461,1460,2235
60,idle,2,1728,45,44,44,6266,255,1728,1020,6502,1460,2316
70,idle,2,1728,45,44,44,6251,255,1728,1020,6502,1460,2316
80,idle,2,1728,45,44,44,6251,255,1728,1020,6624,1582,2275
90,idle,2,1728,45,44,44,6251,255,1728,1020,6502,1460,2316
100,idle,2,1728,45,43,44,6251,255,1728,1020,6502,1460,2316
110,idle,2,1728,45,43,43,6250,255,1728,1020,6421,1460,2235
120,load,2,1728,47,47,46,6250,255,1728,1020,19393,7544,5072
130,load,2,1728,49,49,48,6251,255,1728,1020,19595,7624,5152
140,load,2,1728,51,50,50,6252,255,1728,1020,19595,7624,5152
151,load,2,1728,52,52,52,6253,255,1728,1020,19644,7664,5152
161,load,2,1728,53,54,53,6254,255,1728,1020,19635,7584,5152
171,load,2,1728,55,55,54,6255,255,1728,1020,19564,7584,5072
181,load,2,1728,55,56,55,6257,255,1728,1020,19564,7624,5072
191,load,2,1728,56,56,56,6271,255,1728,1020,19685,7664,5112
201,load,2,1728,57,57,56,6258,255,1728,1020,19604,7624,5112
212,load,2,1728,58,58,57,6258,255,1728,1020,19725,7664,5152
222,load,2,1728,58,58,58,6259,255,1728,1020,19725,7664,5152
232,load,2,1728,59,59,58,6260,255,1728,1020,19685,7664,5152
242,load,2,1728,59,60,59,6261,255,1728,1020,19725,7664,5152
252,load,2,1728,60,60,59,6262,255,1728,1020,19765,7704,5193
263,load,2,1728,60,60,60,6262,255,1728,1020,19805,7704,5193
273,load,2,1728,61,61,60,6262,255,1728,1020,19805,7704,5193
283,load,2,1728,61,61,60,6262,255,1728,1020,19805,7692,5193
293,load,2,1728,61,61,61,6249,255,1728,1020,19765,7692,5152
303,load,2,1728,61,62,61,6264,255,1728,1020,19805,7692,5152
313,load,2,1728,62,62,61,6251,255,1728,1020,19886,7732,5193
324,load,2,1728,62,62,61,6264,255,1728,1020,19846,7732,5193
334,load,2,1728,62,62,62,6279,255,1728,1020,19846,7732,5152
344,load,2,1728,62,62,62,6251,255,1728,1020,19886,7732,5193
354,load,2,1728,62,62,62,6252,255,1728,1020,19926,7772,5193
364,load,2,1728,63,63,62,6266,255,1728,1020,19926,7732,5193
374,load,2,1728,63,63,63,6266,255,1728,1020,19886,7772,5193
385,load,2,1728,63,63,63,6266,255,1728,1020,19886,7772,5193
395,load,2,1728,63,63,63,6266,255,1728,1020,19926,7772,5233
405,load,2,1728,63,63,63,6266,255,1728,1020,19926,7772,5193
415,load,2,1728,63,63,63,6267,255,1728,1020,19886,7732,5193
425,load,2,1728,63,63,63,6253,255,1728,1020,19926,7732,5193
436,load,2,1728,64,64,63,6267,255,1728,1020,19966,7772,5233
446,load,2,1728,64,64,63,6267,255,1728,1020,19966,7772,5193
456,load,2,1728,64,64,63,6253,255,1728,1020,19966,7772,5193
466,load,2,1728,64,64,63,6268,255,1728,1020,19966,7772,5193
476,load,2,1728,64,64,64,6269,255,1728,1020,20007,7772,5193
486,load,2,1728,64,64,64,6268,255,1728,1020,20007,7772,5193
497,load,2,1728,64,64,64,6269,255,1728,1020,20007,7812,5233
507,load,2,1728,64,64,64,6270,255,1728,1020,20007,7812,5193
517,load,2,1728,64,64,64,6270,255,1728,1020,19966,7772,5193
527,load,2,1728,64,65,64,6284,255,1728,1020,20007,7772,5233
537,load,2,1728,65,65,64,6283,255,1728,1020,19966,7772,5233
547,load,2,1728,65,65,64,6283,255,1728,1020,20007,7772,5233
558,load,2,1728,65,65,64,6270,255,1728,1020,20047,7812,5233
568,load,2,1728,65,65,65,6270,255,1728,1020,19966,7772,5233
578,load,2,1728,65,65,65,6284,255,1728,1020,19966,7772,5233
588,load,2,1728,65,65,64,6285,255,1728,1020,20007,7812,5224
598,load,2,1728,65,65,65,6271,255,1728,1020,20007,7812,5233
609,load,2,1728,65,65,65,6271,255,1728,1020,19966,7772,5193
619,load,2,1728,65,65,65,6272,255,1728,1020,20007,7772,5193
629,load,2,1728,65,65,65,6258,255,1728,1020,20047,7812,5233
639,load,2,1728,65,65,65,6270,255,1728,1020,20007,7812,5233
649,load,2,1728,65,65,65,6271,255,1728,1020,20047,7812,5233
