# Jetson Orin Nano 8GB (P3767-0000) thermal characterization, 2026-08-03
# MAXN_SUPER (verified: cpu_max 1728 MHz, gpu_max 1020 MHz) after reboot
# Retuned nvfancontrol quiet curve; load: stress --cpu 6 + GPU FMA burn (8 SMs)
t_s,phase,nvpmodel_achieved,cpu_max_mhz,tj_c,cpu_c,gpu_c,soc1_c,fan_rpm,fan_pwm,cpu0_mhz,gpu_mhz,vdd_in_mw
0,idle,2,1728,47,46,45,47,3560,127,1651,306,5567
5,idle,2,1728,47,46,45,47,3556,127,729,306,4551
10,idle,2,1728,47,45,45,47,3556,127,1190,306,4558
15,idle,2,1728,47,45,45,47,3552,127,1190,306,4592
20,idle,2,1728,47,45,45,47,3458,122,1113,306,4518
25,idle,2,1728,47,45,45,47,3414,122,1190,306,4551
30,idle,2,1728,47,45,45,47,3413,122,1190,306,4632
35,idle,2,1728,46,45,45,47,3414,122,1190,306,4511
40,idle,2,1728,46,45,45,47,3413,122,1190,306,4551
45,idle,2,1728,46,45,45,46,3413,122,729,306,4511
50,idle,2,1728,46,45,45,46,3417,122,1190,306,4511
55,idle,2,1728,46,45,45,46,3414,122,1113,306,4551
60,load,2,1728,49,48,49,47,3651,132,1728,1020,15144
65,load,2,1728,50,49,50,48,3835,137,1728,1020,15305
70,load,2,1728,51,50,51,49,3993,143,1728,1020,15345
75,load,2,1728,52,51,52,49,4264,153,1728,1020,15345
80,load,2,1728,52,52,53,50,4539,164,1728,1020,15184
85,load,2,1728,53,52,53,51,4552,164,1728,1020,15184
90,load,2,1728,54,53,54,51,4817,175,1728,1020,15184
95,load,2,1728,54,53,54,52,4823,175,1728,1020,15224
100,load,2,1728,55,54,55,52,5103,186,1728,1020,15224
105,load,2,1728,55,54,55,53,5102,186,1728,1020,15184
110,load,2,1728,56,54,56,53,5111,186,1728,1020,15224
115,load,2,1728,56,55,56,53,5374,197,1728,1020,15184
120,load,2,1728,56,55,56,54,5374,197,1728,1020,15224
125,load,2,1728,56,55,56,54,5384,197,1728,1020,15224
130,load,2,1728,57,56,57,54,5666,209,1728,1020,15184
135,load,2,1728,57,56,57,55,5654,209,1728,1020,15224
140,load,2,1728,57,56,57,55,5653,209,1728,1020,15184
145,load,2,1728,57,57,57,55,5653,209,1728,1020,15224
150,load,2,1728,57,57,57,55,5653,209,1728,1020,15265
155,load,2,1728,58,57,58,55,5929,222,1728,1020,15265
160,load,2,1728,58,57,58,55,5938,222,1728,1020,15224
165,load,2,1728,58,57,58,55,5925,222,1728,1020,15224
170,load,2,1728,58,57,58,55,5925,222,1728,1020,15265
175,load,2,1728,58,57,58,56,5937,222,1728,1020,15265
180,load,2,1728,58,57,58,56,5913,222,1728,1020,15265
185,load,2,1728,58,57,58,56,5914,222,1728,1020,15265
190,load,2,1728,58,58,58,56,5926,222,1728,1020,15305
195,load,2,1728,58,58,59,56,5927,222,1728,1020,15265
200,load,2,1728,58,58,59,56,5927,222,1728,1020,15305
205,load,2,1728,59,58,59,56,5915,222,1728,1020,15265
210,load,2,1728,59,58,59,56,5928,222,1728,1020,15305
215,load,2,1728,59,58,59,56,5940,222,1728,1020,15305
220,load,2,1728,59,58,59,57,5953,222,1728,1020,15265
225,load,2,1728,59,58,59,57,5941,222,1728,1020,15305
230,load,2,1728,59,58,59,57,5941,222,1728,1020,15305
235,load,2,1728,59,59,59,57,5929,222,1728,1020,15305
240,load,2,1728,60,58,60,57,5917,222,1728,1020,15305
245,load,2,1728,59,58,59,57,5929,222,1728,1020,15345
250,load,2,1728,60,58,60,57,5905,222,1728,1020,15345
255,load,2,1728,59,59,59,57,5930,222,1728,1020,15305
260,load,2,1728,60,59,60,57,5930,222,1728,1020,15345
265,load,2,1728,60,59,59,57,5918,222,1728,1020,15305
270,load,2,1728,60,59,60,57,5918,222,1728,1020,15305
275,load,2,1728,60,59,60,57,5930,222,1728,1020,15305
280,load,2,1728,60,59,60,57,5918,222,1728,1020,15345
285,load,2,1728,60,59,60,58,5906,222,1728,1020,15305
290,load,2,1728,60,59,60,58,5906,222,1728,1020,15305
295,load,2,1728,60,59,60,58,5965,225,1728,1020,15345
300,load,2,1728,60,59,60,58,5977,225,1728,1020,15305
305,load,2,1728,60,59,60,58,5978,225,1728,1020,15345
310,load,2,1728,60,59,60,58,6003,225,1728,1020,15345
315,load,2,1728,60,59,60,58,5978,225,1728,1020,15305
320,load,2,1728,60,59,60,58,5966,225,1728,1020,15345
325,load,2,1728,60,59,60,58,5965,225,1728,1020,15345
330,load,2,1728,60,59,60,58,5978,225,1728,1020,15345
335,load,2,1728,60,59,60,58,5978,225,1728,1020,15265
340,load,2,1728,60,59,61,58,5990,225,1728,1020,15345
345,load,2,1728,60,59,60,58,5990,225,1728,1020,15345
350,load,2,1728,60,60,60,58,5978,225,1728,1020,15345
355,load,2,1728,60,59,60,58,5978,225,1728,1020,15265
360,cool,2,1728,60,58,59,58,5978,225,1190,1020,13347
365,cool,2,1728,57,55,56,57,5990,225,1190,306,4632
370,cool,2,1728,56,54,55,56,5779,215,1113,306,4592
375,cool,2,1728,55,54,54,55,5477,202,1113,306,4592
380,cool,2,1728,55,53,53,55,5224,190,1113,306,4592
385,cool,2,1728,54,52,53,54,5198,190,1113,306,4592
390,cool,2,1728,54,52,52,54,4909,178,1113,306,4592
395,cool,2,1728,53,51,51,53,4910,178,1190,306,4592
400,cool,2,1728,53,51,51,53,4621,166,1190,306,4592
405,cool,2,1728,52,51,51,52,4614,166,1113,306,4592
410,cool,2,1728,52,50,50,52,4614,166,1113,306,4592
415,cool,2,1728,52,50,50,52,4338,155,1190,306,4551
420,cool,2,1728,51,50,50,51,4345,155,1190,306,4551
425,cool,2,1728,51,50,49,51,4345,155,1113,306,4551
430,cool,2,1728,51,49,49,51,4036,143,1190,306,4551
435,cool,2,1728,51,49,49,51,4019,143,1113,306,4551
440,cool,2,1728,50,49,49,50,4020,143,1113,306,4551
445,cool,2,1728,50,49,48,50,4020,143,1190,306,4551
450,cool,2,1728,50,48,48,50,4014,143,1113,306,4551
455,cool,2,1728,50,48,48,50,3853,137,1113,306,4551
460,cool,2,1728,50,48,48,50,3858,137,1190,306,4551
465,cool,2,1728,49,48,48,49,3853,137,1190,306,4551
470,cool,2,1728,49,48,48,49,3848,137,1113,306,4511
475,cool,2,1728,49,48,47,49,3853,137,1113,306,4551
